unit_id,source_file,source_doi,journal,publication_date,article_title,field_relevance_level,subfield_tags,assigned_gate,unit_sha256,nonverbatim_summary,source_text_not_redistributed
ERU-00001,2024_nature_s41586-024-07613-8_peer_review.pdf,10.1038/s41586-024-07613-8,Nature,2024-06-26,Transposase-assisted target-site integration for efficient plant genome engineering,high_core,bioengineering; plant biotechnology; genome engineering,claim_evidence_calibration,3fe0a0e14954155bc941e0becd791e5024e108ab134e3cd462a668e16739c595,Reviewer unit questions whether claim strength exceeds what the presented engineering evidence directly demonstrates.,true
ERU-00002,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,experimental_validation_and_controls,96881511a8f2d7dbaf77b18698d99ec8fb422e6cf903b7a013a276f957a30fb6,"Reviewer unit asks for stronger validation, controls, replicates or measurement characterization.",true
ERU-00003,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,automation_ai_and_closed_loop_systems,93b4a5578c267602ae27f5f25791cbfaa236536779ac12034d8cc8c189227e13,Reviewer unit asks whether the automated or AI-assisted system is truly autonomous and fairly evaluated.,true
ERU-00004,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,scaling_boundary_and_operating_envelope,dbd01ba439e6d13fd441853ed874802e1a85692451944216f29f227856e476a7,Reviewer unit asks the authors to map the operating envelope or justify scale-up and deployment assumptions.,true
ERU-00005,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,detail_audit_and_presentation,4abdd26706049946272924304b39abdecde98d88502e00e1d4e24404a07820d8,"Reviewer unit flags figure, table, unit, definition or presentation details that affect technical interpretability.",true
ERU-00006,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,claim_evidence_calibration,c4801c4eb8ea2ec0adbc271fe5487a7ba6100f2dadac8ad93ffb6af886d86c34,Reviewer unit questions whether claim strength exceeds what the presented engineering evidence directly demonstrates.,true
ERU-00007,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,automation_ai_and_closed_loop_systems,e059dbac00262a1c83349df8e6765969c3a3c656b712c24928446c7f35bfd836,Reviewer unit asks whether the automated or AI-assisted system is truly autonomous and fairly evaluated.,true
ERU-00008,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,claim_evidence_calibration,d840634cbdbb3367d09d3d05363aa71a02a66152a552b5ef85942f20b36e23c8,Reviewer unit questions whether claim strength exceeds what the presented engineering evidence directly demonstrates.,true
ERU-00009,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,design_specification_and_requirements,c0f11779695a3c171cf1c90f115d4a3b1e0b3fbc718bdd26243703851bb07734,"Reviewer unit asks for explicit design requirements, constraints or system-level acceptance criteria.",true
ERU-00010,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,claim_evidence_calibration,cb6e4b594475cf7f634904164e762693687a1e8ef5aa9b162594d9bce10c6222,Reviewer unit questions whether claim strength exceeds what the presented engineering evidence directly demonstrates.,true
ERU-00011,2024_nature_s41586-024-08449-y_peer_review.pdf,10.1038/s41586-024-08449-y,Nature,2024-12-09,Quantum error correction below the surface code threshold,medium_high_related,quantum engineering; computer engineering; error correction,uncertainty_statistics_and_failure_modes,11bf86bdf4300f4fe25aa5d2294d52d8ddfa5b04f7b008c1b0d69dd75fb474b1,"Reviewer unit asks for uncertainty, statistics, variance, error analysis or failure-mode reporting.",true
