id,journal,article_type,publication_date,title,doi,relevance_class,hydrology_axis,article_url,prf_url,pdf_filename,inclusion_reason,downloaded,file_size_bytes,sha256,pdf_header_ok,pdf_pages,corpus_name,corpus_created,source_scope,use_limit_note,publication_year
1,Nature,Article,2026-05-13,More concentrated precipitation decreases terrestrial water storage,10.1038/s41586-026-10487-7,high_core,terrestrial water storage; precipitation concentration; water cycle,https://www.nature.com/articles/s41586-026-10487-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-026-10487-7/MediaObjects/41586_2026_10487_MOESM2_ESM.pdf,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Main claim directly depends on precipitation concentration effects on terrestrial water storage.,True,3203217,db4528726fd402cf1c1bc6a31f6a46f043a20f10fc89953bf4cf00e690a1ece5,True,64,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
2,Nature,Article,2026-03-25,Precipitation observing network gaps limit climate change impact assessment,10.1038/s41586-026-10300-5,high_core,precipitation observing networks; gauge data gaps; climate impact assessment,https://www.nature.com/articles/s41586-026-10300-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-026-10300-5/MediaObjects/41586_2026_10300_MOESM3_ESM.pdf,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Hydrological observation-network representativeness is the central evidence chain.,True,2678511,bd7a6ea155c89e02283d93d268e16bc2e165a1ab4d10ab22ff14df0c1a2dc14c,True,37,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
3,Nature,Article,2025-06-04,Warming accelerates global drought severity,10.1038/s41586-025-09047-2,high_core,drought severity; climate-change hydrological extremes,https://www.nature.com/articles/s41586-025-09047-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09047-2/MediaObjects/41586_2025_9047_MOESM1_ESM.pdf,003_Nature_s41586-025-09047-2_peer_review_file.pdf,Global drought trend and severity attribution are central hydrological claims.,True,1771636,2e62c800436f38ad4b4929d1ef46e4048bde5e342d3e67885b5b44bf6e3b2769,True,41,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
4,Nature,Article,2026-03-04,Wide-swath altimetry maps bank shapes and storage changes in global rivers,10.1038/s41586-026-10218-y,high_core,river altimetry; river storage; bank geometry; SWOT-like observation,https://www.nature.com/articles/s41586-026-10218-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-026-10218-y/MediaObjects/41586_2026_10218_MOESM2_ESM.pdf,004_Nature_s41586-026-10218-y_peer_review_file.pdf,Hydrological remote sensing of river form and storage is the main method and claim.,True,991244,b073b2894b44cff80086b388323dc23207ae4c04b5e162d3553826fcd72a6efe,True,37,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
5,Nature Communications,Article,2025-12-19,Satellite altimetry reveals intensifying global river water level variability,10.1038/s41467-025-67682-9,high_core,river stage; satellite altimetry; global water-level variability,https://www.nature.com/articles/s41467-025-67682-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-67682-9/MediaObjects/41467_2025_67682_MOESM2_ESM.pdf,005_NatCommun_s41467-025-67682-9_peer_review_file.pdf,Main claim depends on satellite-derived river stage variability and trend interpretation.,True,3601431,595a110229c46e254b609a91c80362cf58db605701a37a182d6a198f8a358402,True,43,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2025
6,Nature Communications,Article,2026-06-15,Deep learning completes US flood hazard maps revealing millions exposed to previously unrecognized risk,10.1038/s41467-026-74336-x,high_core,flood hazard mapping; machine learning; exposure,https://www.nature.com/articles/s41467-026-74336-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-74336-x/MediaObjects/41467_2026_74336_MOESM1_ESM.pdf,006_NatCommun_s41467-026-74336-x_peer_review_file.pdf,Flood hazard mapping and exposure are central claims.,True,9362507,38b04c993f3f8d1911e84c31be4fbf3eedd53ba04e039b06e51b06a9c5618edb,True,20,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
7,Nature Communications,Article,2026-05-29,Anthropogenic climate change accelerates the onset of global flood timing,10.1038/s41467-026-73839-x,high_core,flood timing; climate attribution; hydrological extremes,https://www.nature.com/articles/s41467-026-73839-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-73839-x/MediaObjects/41467_2026_73839_MOESM3_ESM.pdf,007_NatCommun_s41467-026-73839-x_peer_review_file.pdf,Flood timing and anthropogenic attribution are central hydrological claims.,True,1104840,cc7cc5024ec467655275858b7bc266ce5d47ce6e230aa56ca885f6f58d458cd5,True,37,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
8,Nature Communications,Article,2026-05-15,Limited meltwater potential in the Asian Water Tower to mitigate downstream urban scarcity,10.1038/s41467-026-73245-3,high_core,cryosphere hydrology; meltwater; downstream water scarcity,https://www.nature.com/articles/s41467-026-73245-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-73245-3/MediaObjects/41467_2026_73245_MOESM2_ESM.pdf,008_NatCommun_s41467-026-73245-3_peer_review_file.pdf,Main claim links snow/glacier meltwater timing to downstream water scarcity.,True,8918871,3b9811ee4cfb3f363b9206a1c49e7aaf888fd81d362d13be1a0e9963e8931a58,True,121,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
9,Nature Communications,Article,2026-05-13,Regionally divergent drivers behind transgressions of the freshwater change planetary boundary,10.1038/s41467-026-73051-x,high_core,freshwater boundary; streamflow; soil moisture; water and land use,https://www.nature.com/articles/s41467-026-73051-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-73051-x/MediaObjects/41467_2026_73051_MOESM3_ESM.pdf,009_NatCommun_s41467-026-73051-x_peer_review_file.pdf,"Freshwater-system change, streamflow and soil-moisture anomalies form the core evidence chain.",True,464074,0b479abde79784b023697c7b05aba1881f9a0726d716bc2d0393897c7c8aac73,True,33,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
10,Nature Communications,Article,2026-05-07,Evidence of hydrological regime shifts associated with a major decades-long drought in West Africa,10.1038/s41467-026-72648-6,high_core,runoff regime shifts; Sahel drought; vegetation-runoff feedbacks,https://www.nature.com/articles/s41467-026-72648-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-026-72648-6/MediaObjects/41467_2026_72648_MOESM2_ESM.pdf,010_NatCommun_s41467-026-72648-6_peer_review_file.pdf,Runoff regime shifts and drought-linked hydrological state change are the main claims.,True,179922,ad0492ee8c400aabba5104a6162266d596bd6beb0dbd52fd43c7dc5b75a90fd2,True,21,hydrology_peer_review_corpus_2024_2026_best_effort,2026-06-25,Nature/Nature Communications core pass; public Peer Review File PDFs only,Keep raw PDF files as source corpus only; distill abstract reviewer patterns and do not embed raw reviewer text in final skill.,2026
