article_title,journal,publication_date,doi,article_url,article_type,field_relevance_level,matched_keywords,exclusion_reason,peer_review_file_status,download_status,notes
A framework for evaluating chemical knowledge in large language models,Nature Chemistry,2025-05-20,10.1038/s41557-025-01815-x,https://www.nature.com/articles/s41557-025-01815-x,Article,high_core,chemical knowledge; large language models; AI for chemistry,"Highly relevant Nature Chemistry article, but the checked article page did not expose a public Peer Review File during this run.",no_public_peer_review_file,no_public_peer_review_file,Recorded for corpus provenance; not downloaded.
Non-enzymatic methylcyclization of alkenes enabled by cyanomethylation,Nature Chemistry,2025-05-08,10.1038/s41557-025-01774-3,https://www.nature.com/articles/s41557-025-01774-3,Article,high_core,methylcyclization; alkenes; cyanomethylation; synthetic chemistry,"High-core synthetic chemistry article, but no public Peer Review File was found on the article page.",no_public_peer_review_file,no_public_peer_review_file,Recorded for failure/excluded table.
Crystalline nitrogen chain radical anions,Nature Chemistry,2025-10-07,10.1038/s41557-025-02040-2,https://www.nature.com/articles/s41557-025-02040-2,Article,high_core,nitrogen chain; radical anions; inorganic chemistry; crystal structure,"High-core inorganic chemistry article, but no public Peer Review File was found on the article page.",no_public_peer_review_file,no_public_peer_review_file,Recorded for corpus audit.
Stereoselective total synthesis of skew-tetramantane,Nature Chemistry,2025-10-01,10.1038/s41557-025-02026-0,https://www.nature.com/articles/s41557-025-02026-0,Article,high_core,stereoselective total synthesis; organic synthesis,"High-core total synthesis article, but no public Peer Review File was found on the article page.",no_public_peer_review_file,no_public_peer_review_file,Recorded for corpus audit.
A nucleophilic beryllyl complex,Nature Chemistry,2024,10.1038/s41557-024-01534-9,https://www.nature.com/articles/s41557-024-01534-9,Article,high_core,beryllyl complex; main-group chemistry; organometallic chemistry,High-core molecular/inorganic chemistry article; no public Peer Review File was confirmed during this run.,no_public_peer_review_file,no_public_peer_review_file,Boundary/source-corpus record.
Supramolecular trapping of cationic all-metal σ-aromatic Bi4 rings,Nature Chemistry,2024,10.1038/s41557-024-01530-z,https://www.nature.com/articles/s41557-024-01530-z,Article,high_core,supramolecular trapping; aromaticity; bismuth; inorganic chemistry,High-core supramolecular/inorganic chemistry article; no public Peer Review File was confirmed during this run.,no_public_peer_review_file,no_public_peer_review_file,Boundary/source-corpus record.
"Selective electroreduction of acetylene to 1,3-butadiene over Cu2O-derived copper catalysts",Nature Catalysis,2024,10.1038/s41929-024-01250-0,https://www.nature.com/articles/s41929-024-01250-0,Article,high_core,electroreduction; catalysis; Cu catalysts; acetylene; butadiene,"High-core catalysis article, but no public Peer Review File was confirmed; Nature Catalysis transparent peer review availability appeared stronger in 2026 items during this run.",no_public_peer_review_file,no_public_peer_review_file,Priority-subjournal candidate without public file.
Exploring mesoscopic mass transport effects on hydrogen evolution activity and stability,Nature Catalysis,2024,10.1038/s41929-024-01177-6,https://www.nature.com/articles/s41929-024-01177-6,Article,high_core,hydrogen evolution; catalysis; mass transport; stability,"High-core electrocatalysis article, but no public Peer Review File was confirmed during this run.",no_public_peer_review_file,no_public_peer_review_file,Priority-subjournal candidate without public file.
A polyketide-based biosynthetic platform expands the accessible chemical space,Nature Catalysis,2025,10.1038/s41929-025-01299-5,https://www.nature.com/articles/s41929-025-01299-5,Article,medium_high_related,biosynthetic platform; chemical space; biocatalysis,"Relevant to chemical biology/biocatalysis, but no public Peer Review File was confirmed during this run.",no_public_peer_review_file,no_public_peer_review_file,Priority-subjournal candidate without public file.
Synthesis of micrometre-thick oriented two-dimensional covalent organic framework films,Nature Synthesis,2025,10.1038/s44160-025-00741-7,https://www.nature.com/articles/s44160-025-00741-7,Article,medium_high_related,COF; covalent organic framework; synthesis; materials chemistry,"Materials-chemistry related article, but no public Peer Review File was confirmed during this run.",no_public_peer_review_file,no_public_peer_review_file,Priority-subjournal candidate without public file.
