pattern_id,gate,pattern_name,reviewer_concern,evidence_risk,revision_direction,severity_default,triggers,source_basis
RS-PAT-001,remote_sensing_evidence_integrity,Atmospheric correction assumptions,"Surface reflectance or retrieval claims depend on atmospheric correction that is not described, validated, or sensitivity-tested.","Surface reflectance or retrieval claims depend on atmospheric correction that is not described, validated, or sensitivity-tested.",Describe correction workflow; test plausible alternatives; compare with independent observations.,major,atmospheric correction; surface reflectance; retrieval,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-002,remote_sensing_evidence_integrity,"Cloud, shadow, snow, water, and quality masking",Mask definitions can reshape sampled populations and bias spatial or temporal conclusions.,Mask definitions can reshape sampled populations and bias spatial or temporal conclusions.,"Report masks, valid-observation coverage, and threshold sensitivity.",major,cloud; shadow; snow; water; mask; quality,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-003,remote_sensing_evidence_integrity,Quality flags and retrieval screening,QA screening may remove difficult cases and overstate product reliability.,QA screening may remove difficult cases and overstate product reliability.,"State flag logic, quantify removals, and stratify validation by QA state.",major,quality flag; QA; screening,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-004,remote_sensing_evidence_integrity,Mixed pixels and sub-pixel heterogeneity,The claimed process occurs below sensor resolution or within heterogeneous pixels.,The claimed process occurs below sensor resolution or within heterogeneous pixels.,"Quantify mixtures, add higher-resolution checks, and calibrate fine-scale claims.",major,mixed pixel; sub-pixel; heterogeneity,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-005,remote_sensing_evidence_integrity,Spatial resolution mismatch,"Predictors, validation observations, and products are compared on incompatible spatial supports.","Predictors, validation observations, and products are compared on incompatible spatial supports.",Harmonize spatial support and report scale-sensitive uncertainty.,major,resolution; scale mismatch; aggregation,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-006,remote_sensing_evidence_integrity,Temporal compositing and sampling bias,"Compositing, revisit frequency, or missing observations vary over season or time.","Compositing, revisit frequency, or missing observations vary over season or time.",Show coverage and test composite-window sensitivity.,major,temporal composite; revisit; missing observations,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-007,remote_sensing_evidence_integrity,In situ match-up design,Satellite and field observations lack defensible space-time collocation rules.,Satellite and field observations lack defensible space-time collocation rules.,State match-up windows and quantify collocation uncertainty.,major,in situ; matchup; collocation,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-008,validation_and_generalization,Independent validation,"Validation data overlap training, calibration, or product construction.","Validation data overlap training, calibration, or product construction.",Use withheld independent observations and region-wise reporting.,major,independent validation; test set; calibration,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-009,remote_sensing_evidence_integrity,Product intercomparison,A new product is not compared with established alternatives.,A new product is not compared with established alternatives.,"Compare products, explain disagreements, and stratify by condition.",major,intercomparison; baseline product,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-010,validation_and_generalization,Spatial leakage in machine-learning validation,Random folds leak spatial autocorrelation and inflate generalization metrics.,Random folds leak spatial autocorrelation and inflate generalization metrics.,Use spatial blocks or leave-region-out validation.,major,spatial leakage; cross-validation; autocorrelation,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-011,validation_and_generalization,Temporal leakage in model validation,Training and test partitions share adjacent or overlapping periods.,Training and test partitions share adjacent or overlapping periods.,Use blocked time splits and leave-year-out validation.,major,temporal leakage; future information; time split,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-012,validation_and_generalization,Cross-validation unit design,The validation unit does not match the unit of claimed inference.,The validation unit does not match the unit of claimed inference.,"Align folds with regions, sites, events, or years.",major,validation unit; grouped fold; pixel,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-013,validation_and_generalization,Machine-learning generalization,Broad applicability is inferred from a narrow training domain.,Broad applicability is inferred from a narrow training domain.,Test domain shift and identify unsupported operating domains.,major,generalization; domain shift; out-of-domain,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-014,remote_sensing_evidence_integrity,Baseline comparison and ablation,Technical advance is claimed without transparent baselines or ablation tests.,Technical advance is claimed without transparent baselines or ablation tests.,Add simple baselines and component-wise ablations.,major,baseline; ablation; machine learning,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-015,remote_sensing_evidence_integrity,Uncertainty propagation,"Input, retrieval, model, and validation uncertainty is not propagated to final estimates.","Input, retrieval, model, and validation uncertainty is not propagated to final estimates.",Propagate uncertainty and report intervals and sensitivity.,major,uncertainty; confidence interval; sensitivity,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-016,spatiotemporal_inference,Trend significance and confidence intervals,Trend magnitude is emphasized without robust intervals or significance tests.,Trend magnitude is emphasized without robust intervals or significance tests.,State the trend model and report robust confidence intervals.,major,trend; significance; confidence interval,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-017,spatiotemporal_inference,Temporal autocorrelation,Time-series inference assumes independent residuals despite serial dependence.,Time-series inference assumes independent residuals despite serial dependence.,Model autocorrelation and use appropriate trend tests.,major,temporal autocorrelation; serial dependence,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-018,spatiotemporal_inference,Spatial autocorrelation,Neighbouring samples are treated as independent replicates.,Neighbouring samples are treated as independent replicates.,"Use spatially aware uncertainty, blocking, or clustered errors.",major,spatial autocorrelation; pseudoreplication,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-019,spatiotemporal_inference,Multiple testing across maps or regions,Many spatial tests are interpreted without discovery control.,Many spatial tests are interpreted without discovery control.,Define the test family and control false discoveries.,major,multiple testing; false discovery; significance map,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-020,claim_evidence_calibration,Causal overclaiming,Observational association is phrased as demonstrated causation.,Observational association is phrased as demonstrated causation.,Calibrate causal wording and test alternative explanations.,major,causal; attribution; observational,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-021,claim_evidence_calibration,Mechanism overclaiming,Patterns with multiple explanations are presented as a demonstrated mechanism.,Patterns with multiple explanations are presented as a demonstrated mechanism.,Separate observations from mechanism and add discriminating tests.,major,mechanism; alternative explanation,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-022,validation_and_generalization,Global generalization,"Global language is based on limited regions, sensors, or conditions.","Global language is based on limited regions, sensors, or conditions.","Report geographic coverage, region-wise performance, and validity limits.",major,global; cross-region; validity domain,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-023,remote_sensing_evidence_integrity,Novelty overclaiming,Priority or novelty is asserted without verified comparison to prior work.,Priority or novelty is asserted without verified comparison to prior work.,Specify the advance and calibrate first or unprecedented claims.,moderate,novelty; first; unprecedented,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-024,remote_sensing_evidence_integrity,Citation and prior-work positioning,"Relevant literature, products, or algorithms are omitted or under-discussed.","Relevant literature, products, or algorithms are omitted or under-discussed.",Use verified references and compare with established approaches.,moderate,citation; prior work; algorithm,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-025,remote_sensing_evidence_integrity,Code and data availability,Central computational results cannot be independently assessed from available materials.,Central computational results cannot be independently assessed from available materials.,"Provide review-stage access, processing documentation, licences, and persistent identifiers.",major,code; data; reproducibility; availability,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-026,remote_sensing_evidence_integrity,Figure evidence mismatch,A figure is used to support a claim it does not directly show.,A figure is used to support a claim it does not directly show.,Display uncertainty and sample coverage; revise prose to match the figure.,major,figure; evidence; uncertainty display,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-027,remote_sensing_evidence_integrity,Location-specific clarity,"A sentence, equation, figure, or term is ambiguous or unsupported.","A sentence, equation, figure, or term is ambiguous or unsupported.","Anchor the request to a real section, paragraph, page, figure, or table without inventing line numbers.",moderate,clarity; anchor; line comment,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-028,remote_sensing_evidence_integrity,Revision-stage concern resolution,A revision only partially resolves prior concerns or introduces new assumptions.,A revision only partially resolves prior concerns or introduces new assumptions.,Map responses to concerns and classify remaining issues explicitly.,moderate,revision; response letter; unresolved,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-029,remote_sensing_evidence_integrity,Domain-specific sensor suitability,Sensor physics or modality is not justified for the target variable and scale.,Sensor physics or modality is not justified for the target variable and scale.,Justify observability and validate in the target regime.,major,sensor; suitability; SAR; LiDAR; altimetry,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
RS-PAT-030,remote_sensing_evidence_integrity,Change-detection threshold sensitivity,"Change estimates depend on thresholds, class definitions, or temporal baselines.","Change estimates depend on thresholds, class definitions, or temporal baselines.",Report sensitivity and propagate classification error.,major,change detection; threshold; class,normalized from the upstream public remote-sensing issue-pattern database; no verbatim review report stored
