pattern_id,gate,claim_type,evidence_risk,reviewer_concern,revision_direction,triggers,severity_hint,supporting_unit_count_by_gate,abstraction_level,source_basis
HYDRO-PAT-001,claim_evidence_calibration,global hydrological change claim,observed association is framed as a demonstrated process,Separate directly observed patterns from inferred mechanisms and avoid stronger causal language than the evidence permits.,"Rewrite claims by evidence tier and state which conclusions are descriptive, inferential, or causal.",global trend; intensification; climate-driven; impact,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-002,claim_evidence_calibration,novel dataset or method claim,technical contribution is conflated with hydrological discovery,A new product may be valuable even if the process interpretation remains under-supported.,"Distinguish product generation, product validation, and scientific interpretation in the abstract and conclusions.",new dataset; global assessment; baseline,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-003,claim_evidence_calibration,policy or management implication,decision-oriented message exceeds the reliability of the hydrological evidence,A management recommendation needs explicit uncertainty and scope conditions.,Add bounded implications and specify where the analysis is diagnostic rather than prescriptive.,policy; planning; water security,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-004,claim_evidence_calibration,hydroclimate impact claim,short or indirect evidence is used to imply long-term change,The language should not imply long-term climate change where the record supports only recent variability.,Replace attribution language with cautious variability language unless formal attribution is provided.,climate change; recent period; trend,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-005,claim_evidence_calibration,mechanistic explanation,multiple plausible drivers are available but one is privileged,The manuscript should not select a single mechanism without ruling out confounders.,Test competing explanations or recast as hypotheses.,mechanism; driver; explain,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-006,claim_evidence_calibration,cross-regional comparison,heterogeneous basins are summarized as a uniform global response,"Regional aggregation can hide hydroclimatic, human, and data-density differences.",Report stratified results and clarify limits of global summary metrics.,global; regional; basin,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-007,claim_evidence_calibration,risk-mapping claim,"mapped exposure is presented as hazard, risk, or realized impact","Exposure, hazard and vulnerability are distinct evidence layers.",Define each risk component and avoid substituting one for another.,exposure; hazard; vulnerability,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-008,claim_evidence_calibration,water-resource deficit claim,demand-side and supply-side uncertainty are collapsed,A water gap estimate must track both hydrological supply uncertainty and human demand assumptions.,Propagate demand and supply uncertainties separately.,water gap; scarcity; demand,major if central claim depends on it,339,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-009,hydrological_variable_validity,river-change claim from river stage,stage is treated as discharge or storage without rating-curve support,"River stage does not directly equal discharge, volume, or riverine water availability.",Validate stage-discharge transferability or narrow the claim to water-level variability.,river stage; RWL; discharge,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
HYDRO-PAT-010,hydrological_variable_validity,groundwater claim from TWS,total water storage is interpreted as groundwater without partitioning,TWS integrates multiple stores and cannot by itself identify aquifer change.,Partition storage components or frame groundwater inference as conditional.,GRACE; TWS; groundwater,major if central claim depends on it,587,non-verbatim domain reviewer pattern,abstracted from public peer-review files; no reviewer text redistributed
