file_name,article_title,journal,journal_group,publication_date,year,doi,article_url,peer_review_file_url,article_type,field_relevance_level,relevance_reason,matched_keywords,subfield_tags,download_status,file_size_bytes,sha256,notes
,Koopman global linearization of contact dynamics for robot locomotion and manipulation enables elaborate control,Nature Communications,Nature Communications,2026-06-19,2026.0,10.1038/s41467-026-72485-7,https://www.nature.com/articles/s41467-026-72485-7,,Article,high_core,Robot locomotion/manipulation control paper; central contribution is robotics/control engineering.,robot locomotion; manipulation; contact dynamics; Koopman; control,robotics; control engineering; dynamics,failed_link_error,,,"Article page indicated a Transparent Peer Review file, but the static PDF link could not be opened/downloaded reliably in this run; kept in failure list for follow-up."
,Benchmarking foundation models as feature extractors for medical imaging,Nature Biomedical Engineering,Nature Portfolio subjournal,2025,2025.0,10.1038/s41551-025-01516-3,https://www.nature.com/articles/s41551-025-01516-3,,Article,low_related_excluded,Model benchmarking for medical imaging; engineering artifact/system design is not the main contribution for this corpus.,foundation models; medical imaging; benchmarking,AI in medicine; imaging,excluded_low_relevance,,,Excluded to keep engineering corpus focused on engineered systems/devices/platforms rather than general ML benchmarking.
,Multiparametric cellular and spatial organization in cancer,Nature Biomedical Engineering,Nature Portfolio subjournal,2025,2025.0,10.1038/s41551-025-01475-9,https://www.nature.com/articles/s41551-025-01475-9,,Article,low_related_excluded,Uses technological/imaging context but biological cancer organization is the primary contribution.,spatial organization; cancer; cellular,biomedical data; oncology,excluded_low_relevance,,,Excluded after title-level/domain screening.
,GenomePAM directs PAM characterization and genome editing activities of uncharacterized CRISPR-Cas systems,Nature Biomedical Engineering,Nature Portfolio subjournal,2025,2025.0,10.1038/s41551-025-01464-y,https://www.nature.com/articles/s41551-025-01464-y,,Article,low_related_excluded,Relevant to genome editing but not prioritized for this first engineering-systems corpus because device/platform engineering is secondary.,genome editing; CRISPR; PAM characterization,genome engineering; synthetic biology,excluded_low_relevance,,,Can be reconsidered if expanding the corpus into bioengineering/genome-engineering subfield.
,DeepSeek-R1 incentivizes reasoning capability in large language models via reinforcement learning,Nature,Nature,2025,2025.0,,https://www.nature.com/,,Article,unrelated_excluded,AI/LLM research article; not directly an engineering systems/device/platform paper under current corpus boundary.,large language model; reinforcement learning; reasoning,AI; machine learning,excluded_unrelated,,,Excluded to avoid diluting engineering reviewer memory with general AI model papers.
,Structural basis for activation and signalling of the type I interferon receptor complex,Nature,Nature,2025,2025.0,,https://www.nature.com/,,Article,unrelated_excluded,Molecular/structural biology article; engineering relevance only incidental if any.,structural basis; receptor complex,structural biology,excluded_unrelated,,,Excluded as search false positive.
,Streaks on martian slopes caused by wind-driven dust avalanches,Nature Communications,Nature Communications,2025,2025.0,,https://www.nature.com/,,Article,unrelated_excluded,Planetary science article; not engineering despite possible modeling/instrumentation overlap.,martian slopes; dust avalanches,planetary science,excluded_unrelated,,,Excluded as field mismatch.
,A fossil fuel and synthetic fertilizer fingerprint in atmospheric N2O,Nature,Nature,2025,2025.0,,https://www.nature.com/,,Article,unrelated_excluded,Atmospheric/environmental chemistry; not engineering under current corpus boundary.,fossil fuel; fertilizer; atmospheric N2O,atmospheric chemistry; environment,excluded_unrelated,,,Excluded as field mismatch.
,Indirect prompt injection in multi-user large language model applications,Nature Machine Intelligence,Nature Portfolio subjournal,2025,2025.0,,https://www.nature.com/,,Article,low_related_excluded,"Security/software topic, but not focused on engineering-device or physical engineering systems in this corpus.",prompt injection; LLM applications; security,software security; AI,excluded_low_relevance,,,"May be useful for a future software-engineering reviewer skill, not this mixed Nature engineering corpus."
,A drug-mimicking nanofibrous peptide hydrogel for inhibiting ocular neovascularization,Nature Biomedical Engineering,Nature Portfolio subjournal,2025,2025.0,10.1038/s41551-025-01380-1,https://www.nature.com/articles/s41551-025-01380-1,,Article,low_related_excluded,Biomedical material/application article; lower priority than device/system engineering examples for this first corpus.,hydrogel; nanofibrous peptide; ocular,biomaterials; therapy,excluded_low_relevance,,,Excluded to avoid over-weighting biomedical materials unless central engineering-system logic is present.
,Large-scale and innervated functional human gut tissues generated from pluripotent stem cells,Nature Biomedical Engineering,Nature Portfolio subjournal,2026,2026.0,10.1038/s41551-026-01688-6,https://www.nature.com/articles/s41551-026-01688-6,,Article,low_related_excluded,Tissue engineering is relevant but this first corpus prioritized engineered devices/platforms and systems; retained as future expansion candidate.,tissue engineering; stem cells; gut tissues,tissue engineering; biomedical engineering,excluded_low_relevance,,,Potential future expansion item.
,Review-style or editorial Nature Portfolio pages returned by broad engineering queries,Multiple,Nature Portfolio subjournal,,,,,,Review/Perspective/Editorial,unrelated_excluded,Non-research article types are outside the requested corpus scope.,engineering; review; perspective; editorial,article-type exclusion,excluded_wrong_article_type,,,Broad search returned non-Article content; excluded by default article-type rule.
