pattern_id,gate_id,gate_name,pattern_type,severity_default,reviewer_concern,common_triggers,common_issue_labels,subfield_signals,evidence_expected,claim_language_risk,source_unit_count,source_article_count,source_journals,source_doi_examples,copyright_note
CECO-P0101,published_paper_comparison_gate,Published-paper comparison gate,cross_literature_stress_test,major,"Novelty should be judged against the closest prior claim, dataset, model and evidence layer, not broad topic similarity.",novel; first; global; largest; unprecedented; framework; synthesis,novelty/significance; related work; claim calibration,climate; ecology; biodiversity; carbon; nitrogen; forest; restoration; soil,"closest-work comparison; difference in data, design, validation, inference or scope","presenting scale, framing or terminology as substantive advance",0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0102,policy_management_claim_gate,"Policy, management and applied implication gate",cross_literature_stress_test,major,"Nature-based mitigation claims should separate potential, realized effect, permanence, leakage, biodiversity trade-offs and feasibility.",mitigation; restoration; offset; sequestration; protection; management; climate solution,policy implication; carbon overclaim; uncertainty; scope,carbon; forest; wetland; grassland; soil; conservation; restoration,baseline; accumulation rate; permanence; disturbance; trade-offs; implementation constraints,treating theoretical ecological potential as durable climate outcome,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0103,carbon_nitrogen_cycle_gate,Carbon and nitrogen biogeochemistry gate,cross_literature_stress_test,major,"Carbon and nitrogen claims should distinguish stocks, fluxes, rates, pools, baselines, saturation and net forcing.",sink; flux; stock; sequestration; emission; nutrient cycling; mitigation potential,biogeochemistry; uncertainty; mass balance; claim calibration,carbon; nitrogen; soil; vegetation; greenhouse gas; ecosystem process,mass balance; unit consistency; pool separation; temporal scale; uncertainty propagation,converting partial biogeochemical evidence into broad climate or ecosystem control claim,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0104,forest_land_use_conservation_gate,"Forest, land-use and conservation gate",cross_literature_stress_test,major,"Ecological classification claims are sensitive to category definitions, thresholds, spatial grain, seasonality and validation.",classification; land cover; vegetation type; ecosystem type; degradation; canopy; habitat,definition/scope; classification uncertainty; sampling/representativeness,forest; grassland; wetland; dryland; shrubland; land cover; remote sensing,explicit definitions; threshold sensitivity; independent validation; ecological interpretation limits,letting a mapped category imply an ecological state not directly demonstrated,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0105,climate_trend_attribution_gate,Climate trend and attribution gate,cross_literature_stress_test,major,"Resilience, tipping and early-warning claims require robustness to proxy choice, time window, detrending, autocorrelation and alternative indicators.",resilience; tipping; collapse; regime shift; early warning; threshold; critical slowing down,trend/attribution; statistical inference; observational uncertainty,climate; ecosystem; vegetation; hydrology; biodiversity; extremes,multi-indicator checks; sensitivity windows; autocorrelation handling; uncertainty; alternative explanations,inferring critical transition from fragile time-series or proxy evidence,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0106,observational_product_uncertainty_gate,Observational product and measurement uncertainty gate,cross_literature_stress_test,major,"Mechanisms inferred from products, proxies or databases should be tested against artifacts, validation limits and cross-product disagreement.",product; proxy; database; inventory; reanalysis; remote sensing; reconstruction,observational product uncertainty; validation; mechanism; trend/attribution,climate; ecology; biodiversity; carbon; nitrogen; land cover,validation; product version; artifact checks; intercomparison; uncertainty propagation,treating derived products as direct process observations,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0107,mechanism_claim_gate,Mechanistic explanation and causal language gate,cross_literature_stress_test,major,Dominant-mechanism claims require comparison with plausible alternative processes and sensitivity to model structure and scale.,dominant; main driver; controlled by; mechanism; explained by; caused by,causal overclaim; mechanism; model uncertainty,carbon; nitrogen; biodiversity; climate; soil; vegetation; ecosystem process,alternative-mechanism tests; causal design; parameter identifiability; scale-aware validation,turning model attribution or correlation into demonstrated mechanism,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0108,policy_management_claim_gate,"Policy, management and applied implication gate",cross_literature_stress_test,major,"Boundary, threshold and safe-limit claims require explicit metrics, aggregation rules, uncertainty and separation of evidence from values.",boundary; threshold; safe limit; target; justice; risk limit; decision threshold,policy implication; definition/scope; uncertainty; threshold claim,climate; biodiversity; water; nutrients; land; Earth system; policy,metric definition; aggregation logic; threshold sensitivity; uncertainty; normative assumptions,presenting a contested or value-laden boundary as a precise physical limit,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0109,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,cross_literature_stress_test,major,"Biodiversity-change claims should distinguish richness, abundance, composition, turnover, function and loss across scales.",biodiversity change; richness; abundance; composition; turnover; decline; ecosystem function,biodiversity/ecosystem/function; sampling/representativeness; statistical inference,biodiversity; monitoring; assemblage; traits; function; conservation,taxonomic coverage; detectability; sampling effort; local-to-global interpretation; metric separation,using one diversity metric to imply broad biodiversity status,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
CECO-P0110,statistical_inference_gate,Statistical inference and uncertainty gate,cross_literature_stress_test,major,"Nonlinear, threshold and regime-shift claims should be robust to model specification, leverage points and uncertainty around the threshold.",threshold; nonlinear; breakpoint; regime shift; boundary; collapse; saturation,statistical/inference; uncertainty; claim calibration,climate; ecology; biodiversity; carbon; nitrogen; land use,alternative models; uncertainty intervals; sensitivity; leverage diagnostics; autocorrelation handling,treating fitted structure as known ecological threshold,0,0,Nature; Science; Nature Portfolio,,High-level pattern; no copied source text.
