unit_id,file_name,doi,journal,year,article_title,reviewer_id,round_label,unit_order,word_count,gate_id,severity,issue_label,signal_terms
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__001__97fa3f5f4a21fd10,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,1,117,biodiversity_ecosystem_function_gate,major,biodiversity/ecosystem/function,biodiversity; diversity; food web; trophic; predator
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__002__0230586e615748f0,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,2,122,forest_land_use_conservation_gate,major,assumption/parameterization,forest; land-use; plantation; tropical
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__003__16519182797f249d,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,3,57,generalist_clarity_gate,should_fix,novelty/significance,clarify; figure; table
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__004__b2a17b111c707a2c,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,4,129,biodiversity_ecosystem_function_gate,major,sampling/representativeness,food web; trophic; predator; ecosystem function
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__005__1c3dd2b10dec5db9,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,5,39,model_assumption_validation_gate,major,model/assumption/validation,prediction
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__006__ebf6a6c26339f9dd,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,6,41,generalist_clarity_gate,should_fix,figure/table clarity,figure
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__007__be1755d1d449bddc,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,7,49,generalist_clarity_gate,should_fix,figure/table clarity,table; supplement
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__008__e68342011e99bb4c,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,8,32,forest_land_use_conservation_gate,major,forest/land/use/conservation,land-use
2024_nature_s41586-024-07083-y_peer_review__reviewer_1__009__349dadadcf1e6cb1,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_1,initial_version,9,214,biodiversity_ecosystem_function_gate,major,figure/table clarity,biodiversity; diversity; food web; resilience
2024_nature_s41586-024-07083-y_peer_review__reviewer_2__001__f48c0ea3b2efe8f2,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_2,unknown_round,1,32,forest_land_use_conservation_gate,major,forest/land/use/conservation,forest; tropical
2024_nature_s41586-024-07083-y_peer_review__reviewer_2__002__2f4e2ed87a925f8e,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_2,unknown_round,2,68,forest_land_use_conservation_gate,major,sampling/representativeness,forest; management
2024_nature_s41586-024-07083-y_peer_review__reviewer_2__003__fb4d849689a00f23,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_2,unknown_round,3,22,forest_land_use_conservation_gate,major,novelty/significance,forest; land use; management
2024_nature_s41586-024-07083-y_peer_review__reviewer_2__004__7a215a783fe9132a,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_2,unknown_round,4,181,biodiversity_ecosystem_function_gate,major,policy implication,diversity; food web; trophic; predator; stability
2024_nature_s41586-024-07083-y_peer_review__reviewer_2__005__5d891e92ef008056,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_2,unknown_round,5,129,sampling_representativeness_gate,major,sampling/representativeness,sample; sampling; plot; season; design
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__001__fb9bebdd01faf43d,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,1,151,forest_land_use_conservation_gate,major,forest/land/use/conservation,forest; land use; plantation; tropical
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__002__f7342fc9398b7531,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,2,54,biodiversity_ecosystem_function_gate,major,sampling/representativeness,biodiversity; diversity
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__003__1dcfeb8a7e4dbaeb,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,3,157,forest_land_use_conservation_gate,major,novelty/significance,forest; land use; tropical
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__004__0d4f25989d49566a,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,4,112,biodiversity_ecosystem_function_gate,major,assumption/parameterization,food web
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__005__55ddd29d323fae7c,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,5,115,mechanism_claim_gate,major,assumption/parameterization,cause; because
2024_nature_s41586-024-07083-y_peer_review__reviewer_3__006__9ee69e994348d708,2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,2024,Rainforest transformation reallocates energy from green to brown food webs,reviewer_3,unknown_round,6,42,carbon_nitrogen_cycle_gate,major,figure/table clarity,flux
