file_name,doi,journal,article_title,unit_count
2024_nature_s41586-024-07083-y_peer_review.pdf,10.1038/s41586-024-07083-y,Nature,Rainforest transformation reallocates energy from green to brown food webs,155
2024_nature_s41586-024-07264-9_peer_review.pdf,10.1038/s41586-024-07264-9,Nature,Climate velocities and species tracking in global mountain regions,247
2024_nature_s41586-024-07257-8_peer_review.pdf,10.1038/s41586-024-07257-8,Nature,FSC-certified forest management benefits large mammals compared to non-FSC,286
2024_nature_s41586-024-07274-7_peer_review.pdf,10.1038/s41586-024-07274-7,Nature,Environmental drivers of increased ecosystem respiration in a warming tundra,38
2024_nature_s41586-024-07629-0_peer_review.pdf,10.1038/s41586-024-07629-0,Nature,Human degradation of tropical moist forests is greater than previously estimated,394
2024_nature_s41586-024-07657-w_peer_review.pdf,10.1038/s41586-024-07657-w,Nature,Thresholds for adding degraded tropical forest to the conservation estate,142
2024_nature_s41586-024-07714-4_peer_review.pdf,10.1038/s41586-024-07714-4,Nature,Global net climate effects of anthropogenic reactive nitrogen,52
2024_nature_s41586-024-07825-y_peer_review.pdf,10.1038/s41586-024-07825-y,Nature,Multi-habitat landscapes are more diverse and stable with improved function,68
2024_nature_s41586-024-07878-z_peer_review.pdf,10.1038/s41586-024-07878-z,Nature,Carbon emissions from the 2023 Canadian wildfires,111
2024_nature_s41586-024-08106-4_peer_review.pdf,10.1038/s41586-024-08106-4,Nature,Global potential for natural regeneration in deforested tropical regions,168
2024_nature_s41586-024-08174-6_peer_review.pdf,10.1038/s41586-024-08174-6,Nature,Biodiversity impacts of the 2019-2020 Australian megafires,68
2024_nature_s41586-024-08191-5_peer_review.pdf,10.1038/s41586-024-08191-5,Nature,Migrating is not enough for modern planktonic foraminifera in a changing ocean,79
2024_nature_s41586-024-08185-3_peer_review.pdf,10.1038/s41586-024-08185-3,Nature,Soil microbiomes show consistent and predictable responses to extreme events,197
2025_nature_s41586-024-08313-z_peer_review.pdf,10.1038/s41586-024-08313-z,Nature,Diversity and biogeography of the bacterial microbiome in glacier-fed streams,135
2025_nature_s41586-024-08375-z_peer_review.pdf,10.1038/s41586-024-08375-z,Nature,One-quarter of freshwater fauna threatened with extinction,72
2025_nature_s41586-024-08458-x_peer_review.pdf,10.1038/s41586-024-08458-x,Nature,Global meta-analysis shows action is needed to halt genetic diversity loss,0
2025_nature_s41586-025-08665-0_peer_review.pdf,10.1038/s41586-025-08665-0,Nature,Vulnerability of amphibians to global warming,124
2025_nature_s41586-024-08576-6_peer_review.pdf,10.1038/s41586-024-08576-6,Nature,High temporal variability not trend dominates Mediterranean precipitation,103
2025_nature_s41586-025-08674-z_peer_review.pdf,10.1038/s41586-025-08674-z,Nature,Record sea surface temperature jump in 2023–2024 unlikely but not unexpected,12
2025_nature_s41586-025-08752-2_peer_review.pdf,10.1038/s41586-025-08752-2,Nature,The global human impact on biodiversity,12
2025_nature_s41586-025-08946-8_peer_review.pdf,10.1038/s41586-025-08946-8,Nature,Plant diversity dynamics over space and time in a warming Arctic,175
2025_nature_s41586-025-09023-w_peer_review.pdf,10.1038/s41586-025-09023-w,Nature,Old carbon routed from land to atmosphere by global river systems,56
2025_nature_s41586-025-09047-2_peer_review.pdf,10.1038/s41586-025-09047-2,Nature,Warming accelerates global drought severity,3
2025_nature_s41586-025-09085-w_peer_review.pdf,10.1038/s41586-025-09085-w,Nature,Impacts of climate change on global agriculture accounting for adaptation,97
2025_nature_s41586-025-09423-y_peer_review.pdf,10.1038/s41586-025-09423-y,Nature,A prudent planetary limit for geologic carbon storage,52
