article_title,journal,journal_group,publication_date,year,doi,article_url,article_type,field_relevance_level,matched_keywords,download_status,exclusion_reason,notes
Option for transparent peer review,Nature Materials,Nature Portfolio subjournal,2026-04-02,2026,10.1038/s41563-026-02584-9,https://www.nature.com/articles/s41563-026-02584-9,Editorial/announcement,unrelated_excluded,transparent peer review; Nature Materials,excluded_wrong_article_type,Journal policy/announcement rather than research article; not a materials-science research corpus item.,Located during subjournal search.
An autonomous laboratory for the accelerated synthesis of novel materials,Nature,Nature,2023-11-29,2023,10.1038/s41586-023-06734-w,https://www.nature.com/articles/s41586-023-06734-w,Article,high_core,autonomous laboratory; materials synthesis; accelerated synthesis,excluded_out_of_date_range,Published before 2024-01-01 boundary despite strong materials relevance.,Boundary/exclusion check.
Exploiting redundancy in large materials datasets for efficient machine learning with less data,Nature Communications,Nature Communications,2023-11-23,2023,10.1038/s41467-023-42992-y,https://www.nature.com/articles/s41467-023-42992-y,Article,high_core,materials datasets; machine learning; redundancy,excluded_out_of_date_range,Published before 2024-01-01 boundary.,Boundary/exclusion check.
Collective intelligence for AI-assisted chemical synthesis,Nature,Nature,2026-01-19,2026,10.1038/s41586-026-10131-4,https://www.nature.com/articles/s41586-026-10131-4,Article,low_related_excluded,chemical synthesis; AI-assisted synthesis,excluded_low_relevance,Chemistry-methods first; materials science is not the core object or evidence chain in this corpus pass.,Candidate from broad search; reserved for chemistry reviewer skill.
Towards end-to-end automation of AI research,Nature,Nature,2026-03-25,2026,10.1038/s41586-026-10265-5,https://www.nature.com/articles/s41586-026-10265-5,Article,unrelated_excluded,AI research; automation,excluded_unrelated,"AI research automation, not materials science.",False positive from AI/materials keyword search.
DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning,Nature,Nature,2025,2025,10.1038/s41586-025-09422-z,https://www.nature.com/articles/s41586-025-09422-z,Article,unrelated_excluded,LLM; reasoning; AI,excluded_unrelated,Machine-learning article unrelated to materials science despite peer review file availability.,False positive from AI-assisted/materials-design search.
Lottery before peer review is associated with increased female representation and reduced estimated economic cost in a German funding line,Nature Communications,Nature Communications,2025-11-06,2025,10.1038/s41467-025-65660-9,https://www.nature.com/articles/s41467-025-65660-9,Article,unrelated_excluded,peer review,excluded_unrelated,"Study of peer review/funding process, not materials science.",False positive caused by peer-review keyword.
Orbital-hybridization-induced Ising-type superconductivity in a confined gallium layer,Nature Materials,Nature Portfolio subjournal,2026-04-13,2026,10.1038/s41563-026-02573-y,https://www.nature.com/articles/s41563-026-02573-y,Article,high_core,superconductivity; confined gallium; electronic materials; thin films,no_public_peer_review_file,"Article page states peer reviewer reports are available, but the publicly accessible text view did not expose a downloadable peer-review PDF URL; no guessing of hidden links attempted.",Nature Materials subscription article; no static peer-review PDF link found in accessible HTML.
A free energy landscape analysis of resistance fluctuations in a memristive device,Nature Materials,Nature Portfolio subjournal,2026-01-30,2026,10.1038/s41563-026-02487-9,https://www.nature.com/articles/s41563-026-02487-9,Article,high_core,memristive device; resistance fluctuations; electronic materials,no_public_peer_review_file,Peer reviewer reports link did not expose a public downloadable PDF URL in the accessible HTML; no permissions bypass attempted.,Recorded as accessible-page limitation.
Methane storage using metal-dipyrazolate frameworks,Nature Materials,Nature Portfolio subjournal,2026,2026,10.1038/s41563-026-02621-7,https://www.nature.com/articles/s41563-026-02621-7,Article,high_core,MOF; methane storage; porous materials; gas adsorption,no_public_peer_review_file,Peer reviewer reports link did not expose a public downloadable peer-review PDF URL in accessible HTML; ordinary article/SI files not downloaded.,Recorded as no public downloadable PR file found.
