gate,candidate_review_units,released_patterns,support_level,notes
atmospheric_claim_evidence_calibration,264,4,strong,well represented in the distilled corpus
ai_weather_climate_model_fidelity,222,4,strong,well represented in the distilled corpus
observational_product_reanalysis_validity,210,4,strong,well represented in the distilled corpus
model_physics_assumption_sensitivity,204,4,strong,well represented in the distilled corpus
detail_audit,187,4,strong,well represented in the distilled corpus
sampling_event_representativeness,166,4,strong,well represented in the distilled corpus
scale_resolution_boundary_consistency,162,4,strong,well represented in the distilled corpus
aerosol_cloud_radiation_microphysics,77,4,moderate,represented with focused atmospheric patterns
mechanism_causality_circulation_dynamics,77,4,moderate,represented with focused atmospheric patterns
trend_internal_variability_signal_detection,69,4,moderate,represented with focused atmospheric patterns
chemistry_emissions_budget,54,4,compact,kept as a concise expert-control gate where claim-dependent relevance is high
uncertainty_statistics_skill_metrics,46,4,compact,kept as a concise expert-control gate where claim-dependent relevance is high
extreme_event_attribution_counterfactual,45,4,compact,kept as a concise expert-control gate where claim-dependent relevance is high
reproducibility_data_code,24,4,compact,kept as a concise expert-control gate where claim-dependent relevance is high
