unit_id,source_pdf,journal,doi,title,topic_tags,gate,char_len,abstract_signal,raw_text_stored
001_Nature_s41586-024-07547-1_peer_review_file__u0001,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,aerosol_cloud_radiation_microphysics,1101,sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0002,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,91,recommend,no
001_Nature_s41586-024-07547-1_peer_review_file__u0004,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,492,however; missing,no
001_Nature_s41586-024-07547-1_peer_review_file__u0006,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,detail_audit,189,need; needs,no
001_Nature_s41586-024-07547-1_peer_review_file__u0010,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,atmospheric_claim_evidence_calibration,384,not clear,no
001_Nature_s41586-024-07547-1_peer_review_file__u0012,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,aerosol_cloud_radiation_microphysics,1816,major; lack,no
001_Nature_s41586-024-07547-1_peer_review_file__u0013,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,871,however; major; sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0015,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,446,sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0017,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,1382,however; major,no
001_Nature_s41586-024-07547-1_peer_review_file__u0018,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,404,however,no
001_Nature_s41586-024-07547-1_peer_review_file__u0020,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,chemistry_emissions_budget,503,however; lack; sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0021,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,aerosol_cloud_radiation_microphysics,1101,sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0022,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,91,recommend,no
001_Nature_s41586-024-07547-1_peer_review_file__u0023,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,atmospheric_claim_evidence_calibration,416,lack,no
001_Nature_s41586-024-07547-1_peer_review_file__u0025,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,535,however; missing,no
001_Nature_s41586-024-07547-1_peer_review_file__u0026,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,1438,sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0027,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,scale_resolution_boundary_consistency,489,sensitivity,no
001_Nature_s41586-024-07547-1_peer_review_file__u0034,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,detail_audit,189,need; needs,no
001_Nature_s41586-024-07547-1_peer_review_file__u0044,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,2014,should,no
001_Nature_s41586-024-07547-1_peer_review_file__u0047,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,detail_audit,177,should,no
001_Nature_s41586-024-07547-1_peer_review_file__u0048,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,atmospheric_claim_evidence_calibration,384,not clear,no
001_Nature_s41586-024-07547-1_peer_review_file__u0056,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,aerosol_cloud_radiation_microphysics,1816,major; lack,no
001_Nature_s41586-024-07547-1_peer_review_file__u0057,001_Nature_s41586-024-07547-1_peer_review_file.pdf,Nature,10.1038/s41586-024-07547-1,Global variability in atmospheric new particle formation mechanisms,aerosol chemistry; new particle formation; chemistry-climate model,model_physics_assumption_sensitivity,871,however; major; sensitivity,no
