candidate,journal,doi,status,reason
Atmospheric microplastic emissions from land and ocean,Nature,10.1038/s41586-025-09998-6,deferred,"high atmospheric relevance, but no visible Peer Review File in first pass; record for later verification"
Probabilistic weather forecasting with machine learning,Nature,10.1038/s41586-024-08252-9,deferred,"high AI weather relevance, but no visible Peer Review File link in first pass"
Oxidative potential of atmospheric particles in Europe and exposure scenarios,Nature,10.1038/s41586-025-09666-9,excluded_from_main,atmospheric particles are central but paper leans exposure/health; no visible Peer Review File in first pass
Higher precipitation in East Asia and western US in modern and Pliocene simulations,Nature Geoscience,10.1038/s41561-025-01669-5,deferred,"high climate dynamics relevance, but no downloadable Peer Review File located in first pass"
Substantial cooling effect from aerosol-induced increase in tropical stratiform low-cloud cover,Nature Geoscience,10.1038/s41561-024-01427-z,deferred,"high aerosol-cloud relevance, but no downloadable Peer Review File located in first pass"
Soil moisture gradients strengthen mesoscale convective systems,Nature Geoscience,10.1038/s41561-025-01666-8,deferred,"high land-atmosphere relevance, but no downloadable Peer Review File located in first pass"
High sensitivity of cloud formation to aerosol changes,Nature Geoscience,10.1038/s41561-025-01662-y,deferred,"high aerosol-cloud relevance, but no downloadable Peer Review File located in first pass"
Past hydroclimate extremes in Europe driven by Atlantic jet variability,Nature Geoscience,10.1038/s41561-025-01654-y,deferred,"high atmospheric circulation/paleo relevance, but no downloadable Peer Review File located in first pass"
Delayed leaf green-up is associated with fine particulate air pollution,Nature Communications,10.1038/s41467-025-58710-9,excluded_from_main,"air pollution present, but central evidence chain is ecological phenology rather than atmospheric process"
Atmospheric health burden across the century and the accelerating impact of temperature compared to pollution,Nature Communications,10.1038/s41467-024-53649-9,excluded_from_main,health-burden/exposure paper; not primary atmospheric process reviewer memory
