id,journal,title,doi,article_id,publication_date,article_type,collection_round,relevance_level,topic_tags,article_url,peer_review_file_url,local_pdf,pages,file_size_bytes,sha256,download_status,source_basis,include_in_main_reviewer_memory,raw_pdf_in_skill_release
1,Nature,Global variability in atmospheric new particle formation mechanisms,10.1038/s41586-024-07547-1,s41586-024-07547-1,2024-07-03,Article,round1_nature_nc,high_core,aerosol chemistry; new particle formation; chemistry-climate model,https://www.nature.com/articles/s41586-024-07547-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07547-1/MediaObjects/41586_2024_7547_MOESM2_ESM.pdf,pdfs/round1_nature_nc/001_Nature_s41586-024-07547-1_peer_review_file.pdf,64,13131816,d2077b7e201b52a53d80427fb7adc311db7971d16cf5ca141d2d50a889532688,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
2,Nature,Neural general circulation models for weather and climate,10.1038/s41586-024-07744-y,s41586-024-07744-y,2024-07-22,Article,round1_nature_nc,high_core,AI weather; neural GCM; atmospheric model evaluation,https://www.nature.com/articles/s41586-024-07744-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07744-y/MediaObjects/41586_2024_7744_MOESM2_ESM.pdf,pdfs/round1_nature_nc/002_Nature_s41586-024-07744-y_peer_review_file.pdf,46,11727281,3dc2d6b755668b498ac8844a39c08f5b798903694e8423702901ef4d49ba51e6,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
3,Nature,Global net climate effects of anthropogenic reactive nitrogen,10.1038/s41586-024-07714-4,s41586-024-07714-4,2024-07-24,Article,round1_nature_nc,high_core,reactive nitrogen; atmospheric chemistry; radiative forcing,https://www.nature.com/articles/s41586-024-07714-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-07714-4/MediaObjects/41586_2024_7714_MOESM2_ESM.pdf,pdfs/round1_nature_nc/003_Nature_s41586-024-07714-4_peer_review_file.pdf,61,6492549,c4c525be8d8850814fcabcad2282d32572e60f8b05b0241ccc8715888b14de33,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
4,Nature,Systematic attribution of heatwaves to the emissions of carbon majors,10.1038/s41586-025-09450-9,s41586-025-09450-9,2025-09-10,Article,round1_nature_nc,high_core,heatwave attribution; event attribution; counterfactual design,https://www.nature.com/articles/s41586-025-09450-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09450-9/MediaObjects/41586_2025_9450_MOESM2_ESM.pdf,pdfs/round1_nature_nc/004_Nature_s41586-025-09450-9_peer_review_file.pdf,48,1619184,4a55f46d002b72952755089b8b0d9a1189c1f9767e176eb6afde55efec27ec15,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
5,Nature,Impact of Amazonian deforestation on precipitation reverses between seasons,10.1038/s41586-024-08570-y,s41586-024-08570-y,2025-01-15,Article,round1_nature_nc,medium_high_related,land-atmosphere feedback; precipitation; deforestation forcing,https://www.nature.com/articles/s41586-024-08570-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08570-y/MediaObjects/41586_2024_8570_MOESM2_ESM.pdf,pdfs/round1_nature_nc/005_Nature_s41586-024-08570-y_peer_review_file.pdf,108,6435184,911abdd926ff0f872fe0cab860ed77b6a1fdf701af5f66914842751b22da5375,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
6,Nature,High temporal variability not trend dominates Mediterranean precipitation,10.1038/s41586-024-08576-6,s41586-024-08576-6,2025-01-22,Article,round1_nature_nc,high_core,precipitation trend; internal variability; regional climate dynamics,https://www.nature.com/articles/s41586-024-08576-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08576-6/MediaObjects/41586_2024_8576_MOESM2_ESM.pdf,pdfs/round1_nature_nc/006_Nature_s41586-024-08576-6_peer_review_file.pdf,57,5940036,4a843e1d29a7d3220efc714a3fc12ec12402d48e9b97b7db6338af7cbee18a78,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
7,Nature Communications,Asymmetric shifts in precipitation due to urbanization across global cities,10.1038/s41467-025-61053-0,s41467-025-61053-0,2025-06-06,Article,round1_nature_nc,medium_high_related,urban precipitation; land-atmosphere interaction,https://www.nature.com/articles/s41467-025-61053-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-61053-0/MediaObjects/41467_2025_61053_MOESM2_ESM.pdf,pdfs/round1_nature_nc/007_NatCommun_s41467-025-61053-0_peer_review_file.pdf,37,3896249,942e34b9ed8b416b5bf9ff0ac5aa8dc637754203ce8bc563ca92405e5073e0ed,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
8,Nature Communications,Fusion of multi-source precipitation records via coordinate-based generative models,10.1038/s41467-025-67987-9,s41467-025-67987-9,2025-12-03,Article,round1_nature_nc,high_core,precipitation data product; generative model; validation,https://www.nature.com/articles/s41467-025-67987-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-67987-9/MediaObjects/41467_2025_67987_MOESM2_ESM.pdf,pdfs/round1_nature_nc/008_NatCommun_s41467-025-67987-9_peer_review_file.pdf,68,2030262,7a363ae04a1ba01ac58f4ab4b16d0d76342e87ff0df3ea5ef37c9d157b906756,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
9,Nature Communications,Changing aerosol chemistry is redefining HONO sources,10.1038/s41467-025-60614-7,s41467-025-60614-7,2025-05-19,Article,round1_nature_nc,high_core,HONO; atmospheric chemistry; aerosol chemistry,https://www.nature.com/articles/s41467-025-60614-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-60614-7/MediaObjects/41467_2025_60614_MOESM2_ESM.pdf,pdfs/round1_nature_nc/009_NatCommun_s41467-025-60614-7_peer_review_file.pdf,50,1365839,a3d554d494dc4a58a2127d0614ceb857b042310dad428a489bd0c936bc90f6ec,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
10,Nature Communications,Increasing certainty in projected local extreme precipitation change,10.1038/s41467-025-56235-9,s41467-025-56235-9,2025-02-27,Article,round1_nature_nc,high_core,extreme precipitation; projection uncertainty; model ensemble,https://www.nature.com/articles/s41467-025-56235-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-56235-9/MediaObjects/41467_2025_56235_MOESM2_ESM.pdf,pdfs/round1_nature_nc/010_NatCommun_s41467-025-56235-9_peer_review_file.pdf,67,2671802,0a73d97729b1de9c1e0cbbdc8864d3716226bbe44fed01bc0281edfc07aae223,success,public article page with Peer Review File / Transparent Peer Review file link,True,no
