source_id,source_pdf,journal,doi,pdf_pages_manifest,pages_extracted,full_text_chars,reviewer_section_chars,author_response_excluded_by_rule,review_unit_count,primary_gate_top3,qc_note
1,001_Nature_s41586-026-10487-7_peer_review_file.pdf,Nature,10.1038/s41586-026-10487-7,64,64,183122,24983,True,34,hydrological_variable_validity:9; claim_evidence_calibration:8; trend_attribution_temporal_support:4,non-verbatim unit index only; raw extracted text not stored in repository
2,002_Nature_s41586-026-10300-5_peer_review_file.pdf,Nature,10.1038/s41586-026-10300-5,37,37,71131,70818,False,161,scale_basin_consistency:39; sampling_gauge_representativeness:30; claim_evidence_calibration:23,non-verbatim unit index only; raw extracted text not stored in repository
3,003_Nature_s41586-025-09047-2_peer_review_file.pdf,Nature,10.1038/s41586-025-09047-2,41,41,101084,10790,True,9,detail_audit:4; trend_attribution_temporal_support:3; claim_evidence_calibration:1,non-verbatim unit index only; raw extracted text not stored in repository
4,004_Nature_s41586-026-10218-y_peer_review_file.pdf,Nature,10.1038/s41586-026-10218-y,37,37,123799,29715,True,25,scale_basin_consistency:9; detail_audit:3; sampling_gauge_representativeness:3,non-verbatim unit index only; raw extracted text not stored in repository
5,005_NatCommun_s41467-025-67682-9_peer_review_file.pdf,Nature Communications,10.1038/s41467-025-67682-9,43,43,109611,109453,False,113,trend_attribution_temporal_support:27; hydrological_variable_validity:24; scale_basin_consistency:15,non-verbatim unit index only; raw extracted text not stored in repository
6,006_NatCommun_s41467-026-74336-x_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-74336-x,20,20,61967,11698,True,19,extreme_event_definition:8; sampling_gauge_representativeness:2; model_assumption_sensitivity:2,non-verbatim unit index only; raw extracted text not stored in repository
7,007_NatCommun_s41467-026-73839-x_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-73839-x,37,37,98260,98107,False,186,scale_basin_consistency:56; extreme_event_definition:26; trend_attribution_temporal_support:21,non-verbatim unit index only; raw extracted text not stored in repository
8,008_NatCommun_s41467-026-73245-3_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-73245-3,121,121,320856,52847,True,48,detail_audit:12; scale_basin_consistency:12; hydrological_variable_validity:6,non-verbatim unit index only; raw extracted text not stored in repository
9,009_NatCommun_s41467-026-73051-x_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-73051-x,33,33,88093,87921,False,95,scale_basin_consistency:34; hydrological_variable_validity:14; detail_audit:12,non-verbatim unit index only; raw extracted text not stored in repository
10,010_NatCommun_s41467-026-72648-6_peer_review_file.pdf,Nature Communications,10.1038/s41467-026-72648-6,21,21,66509,66326,False,69,detail_audit:22; scale_basin_consistency:13; claim_evidence_calibration:10,non-verbatim unit index only; raw extracted text not stored in repository
