pattern_id,gate,gate_title,pattern_name,claim_type,evidence_risk,reviewer_concern,revision_direction,severity_default,corpus_support_unit_count,support_unit_hashes,verbatim_source_text_included
ENG-PAT-0001,claim_evidence_calibration,Claim-evidence calibration,Demonstration-to-general-claim gap,General engineering performance or platform claim,The manuscript demonstrates a prototype or limited operating regime but phrases the result as broadly general.,A reader cannot tell which claims are directly demonstrated and which are extrapolated beyond the test matrix.,"Calibrate the abstract, title and discussion to the validated envelope; state unresolved scaling and deployment constraints.",major,12,3fe0a0e14954;c4801c4eb8ea;d840634cbdbb;cb6e4b594475;bad6ee266b2b,false
ENG-PAT-0002,claim_evidence_calibration,Claim-evidence calibration,Metric-selected narrative,Best-in-class or superior-performance claim,"Only favourable metrics are highlighted while trade-offs such as power, yield, lifetime, complexity or safety are underweighted.",The claimed advance may disappear under a complete multi-objective comparison.,Report a balanced metric table and explicitly discuss performance trade-offs against closest alternatives.,major,12,3fe0a0e14954;c4801c4eb8ea;d840634cbdbb;cb6e4b594475;bad6ee266b2b,false
ENG-PAT-0003,novelty_and_positioning,Novelty and related-work positioning,Insufficient separation from closest prior art,"Novel device, platform, method or architecture",The closest previous systems are not compared under equivalent definitions or conditions.,The claimed conceptual advance may be an incremental combination or implementation detail.,"Add a focused comparison with the nearest prior art and specify what is new in principle, capability or scale.",major,4,752b31224c13;afeba8eb54d9;b80184da6030;1765c186d5f4,false
ENG-PAT-0004,novelty_and_positioning,Novelty and related-work positioning,Cross-field novelty mismatch,Interdisciplinary engineering contribution,The work is novel to one community but routine in another domain whose literature is not represented.,The manuscript may overclaim originality because it samples only a narrow citation field.,"Map the contribution against the relevant materials, controls, robotics, bioengineering or computation literature as appropriate.",major,4,752b31224c13;afeba8eb54d9;b80184da6030;1765c186d5f4,false
ENG-PAT-0005,design_specification_and_requirements,Design specification and requirement fit,Unstated design requirements,System design solves a practical engineering problem,"Functional requirements, constraints and acceptance criteria are implicit rather than quantitatively defined.",It is unclear whether the proposed design is optimized for the claimed use case or merely works in a permissive setting.,"Define requirements before presenting results, including target operating range, tolerances, safety constraints and success thresholds.",major,8,c0f11779695a;0e7ef6623086;3c350e5c5828;43303484e268;05820f8c4502,false
ENG-PAT-0006,design_specification_and_requirements,Design specification and requirement fit,Component-level success treated as system-level validation,Integrated engineering system claim,"Individual modules are characterized, but integration losses and system interactions are not tested.",Component performance may not transfer to the assembled device or workflow.,"Add end-to-end system tests and account for losses, delays, coupling effects and failure propagation.",major,8,c0f11779695a;0e7ef6623086;3c350e5c5828;43303484e268;05820f8c4502,false
ENG-PAT-0007,experimental_validation_and_controls,Experimental validation and controls,Missing negative or process controls,"Mechanism, material, device or bioengineering effect",The experiment lacks controls that isolate the active design element from confounders.,"Observed improvements may be caused by fabrication history, geometry, training protocol or environmental conditions rather than the proposed mechanism.",Add matched controls and ablations that remove or perturb the claimed causal design feature.,major,9,96881511a8f2;4825317231ba;f457724ad51b;8b3494f2bc04;883aadd91d79,false
ENG-PAT-0008,experimental_validation_and_controls,Experimental validation and controls,Single-run or low-replicate validation,Reliable performance or robustness claim,"Key results rely on few devices, cells, robots, samples or experimental runs.",The magnitude and repeatability of the effect are not distinguishable from run-to-run variability.,"Report biological or technical replicates, failure counts, variance and confidence intervals for principal claims.",major,9,96881511a8f2;4825317231ba;f457724ad51b;8b3494f2bc04;883aadd91d79,false
ENG-PAT-0009,experimental_validation_and_controls,Experimental validation and controls,Test condition mismatch,Real-world engineering applicability,"Validation is performed under simplified laboratory conditions that omit load, contamination, heterogeneity, motion, ageing or deployment stress.",The use-case claim is stronger than the environmental realism of the tests.,Add tests under representative operating conditions or narrow the deployment claim accordingly.,major,9,96881511a8f2;4825317231ba;f457724ad51b;8b3494f2bc04;883aadd91d79,false
ENG-PAT-0010,benchmark_and_comparability,Benchmarking and comparability,Unfair baseline comparison,Outperforms existing methods or devices,"Baselines are not tuned, not current, or evaluated under different data, hardware or operating conditions.",Performance superiority may be an artefact of comparison design.,"Use current baselines, matched constraints and transparent evaluation protocols; report where each method is advantaged or disadvantaged.",major,5,5666214eaea3;7e8f33885f6b;c66b97c471f1;5c584b4031fd;e33907d44a5e,false
