file_name,article_title,journal,journal_group,publication_date,year,doi,article_url,peer_review_file_url,article_type,field_relevance_level,relevance_reason,matched_keywords,subfield_tags,download_status,file_size_bytes,sha256,notes
2026_nchem_s41557-026-02151-4_peer_review.pdf,Supramolecular dye polymers for aggregation-induced photocatalysis,Nature Chemistry,Nature Chemistry,2026-05-18,2026,10.1038/s41557-026-02151-4,https://www.nature.com/articles/s41557-026-02151-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41557-026-02151-4/MediaObjects/41557_2026_2151_MOESM2_ESM.pdf,Article,high_core,"High core: the main claim depends on supramolecular dye-polymer assembly, photocatalytic function, synthesis/characterization, electrochemical and spectroscopic evidence.",supramolecular chemistry; photocatalysis; aggregation-induced photocatalysis; dye polymers; spectroscopy; electrochemistry,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,downloaded,21894812,2251a885f768aa3618030d4f7d60fe724717a522a716617304f2e4922df05562,Core journal item; public Peer Review File verified on article page.
2026_nchem_s41557-026-02155-0_peer_review.pdf,Aromatic ring flips reveal reshaping of protein dynamics in crystals and complexes,Nature Chemistry,Nature Chemistry,2026-06-10,2026,10.1038/s41557-026-02155-0,https://www.nature.com/articles/s41557-026-02155-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41557-026-02155-0/MediaObjects/41557_2026_2155_MOESM2_ESM.pdf,Article,medium_high_related,"Medium-high: the article is chemical-biology oriented; molecular dynamics and NMR evidence form a key method/evidence layer, though the biological protein-system context is substantial.",aromatic ring flips; protein dynamics; NMR; molecular dynamics; chemical biology,chemical_biology; physical_chemistry; spectroscopy; molecular_dynamics,downloaded,1761355,f18b8cfb46737d01f5d2cbcaa73714fe146e4ed7c9333468285e092a9610245e,Core journal item; public Peer Review File verified on article page.
2025_nature_s41586-025-09184-8_peer_review.pdf,Mapping the chemical complexity of plastics,Nature,Nature,2025-07-09,2025,10.1038/s41586-025-09184-8,https://www.nature.com/articles/s41586-025-09184-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09184-8/MediaObjects/41586_2025_9184_MOESM2_ESM.pdf,Article,high_core,"High core: the study is centered on molecular/chemical composition and complexity of plastics, with direct relevance to polymer and environmental chemistry.",chemical complexity; plastics; polymer chemistry; environmental chemistry,polymer_chemistry; environmental_chemistry; analytical_chemistry; green_chemistry,downloaded,221816,29f8323ee958039d7b520400df30af71005279987b1a9872774bc55ca5eaf3d1,Core journal item; public Peer Review File verified on article page.
2025_nature_s41586-025-09519-5_peer_review.pdf,Connecting chemical and protein sequence space to predict biocatalytic reactions,Nature,Nature,2025-10-01,2025,10.1038/s41586-025-09519-5,https://www.nature.com/articles/s41586-025-09519-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09519-5/MediaObjects/41586_2025_9519_MOESM2_ESM.pdf,Article,high_core,"High core: prediction of biocatalytic reactions directly links chemical reaction space, enzyme sequence space and reaction discovery.",biocatalytic reactions; chemical space; protein sequence space; reaction prediction; machine learning,biocatalysis; chemical_biology; cheminformatics; reaction_discovery,downloaded,269298,858765328d08dd625ede48c6b654e80b05f2803fc719d8eae85c6eb59ff9fe3b,Core journal item; public Peer Review File verified on article page.
2025_nature_s41586-025-09791-5_peer_review.pdf,Direct deaminative functionalization with N-nitroamines,Nature,Nature,2025-10-27,2025,10.1038/s41586-025-09791-5,https://www.nature.com/articles/s41586-025-09791-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09791-5/MediaObjects/41586_2025_9791_MOESM2_ESM.pdf,Article,high_core,High core: the article reports a new synthetic methodology for direct deaminative functionalization with mechanistic and substrate-scope evidence.,deaminative functionalization; N-nitroamines; synthetic methodology; late-stage functionalization; reaction mechanism,organic_synthesis; synthetic_chemistry_methodology; reaction_mechanism; medicinal_chemistry,downloaded,1136697,0616a5ca7a0534bb52f57c7140feef032409f2309ff8c0e076316f8add64d4c0,Core journal item; public Peer Review File verified on article page.
2026_nature_s41586-025-10002-4_peer_review.pdf,Electrochemical defluorinative Matteson-type homologation,Nature,Nature,2026-01-07,2026,10.1038/s41586-025-10002-4,https://www.nature.com/articles/s41586-025-10002-4,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-10002-4/MediaObjects/41586_2025_10002_MOESM4_ESM.pdf,Article,high_core,High core: the main contribution is an electrochemical synthetic transformation involving defluorinative homologation and chemical mechanism validation.,electrochemical reaction; defluorinative homologation; Matteson-type homologation; synthesis,organic_synthesis; electrochemistry; reaction_mechanism,downloaded,1772272,5bccd7670b6145f055bd4880b72761af7d537b752d13f4c30040885316010dfa,Core journal item; public Peer Review File verified on article page.
2025_nature_s41586-025-09291-6_peer_review.pdf,Redox-powered autonomous directional C–C bond rotation under enzyme control,Nature,Nature,2025-07-16,2025,10.1038/s41586-025-09291-6,https://www.nature.com/articles/s41586-025-09291-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09291-6/MediaObjects/41586_2025_9291_MOESM2_ESM.pdf,Article,high_core,"High core: molecular redox chemistry, directional bond rotation and enzyme-controlled chemical mechanism are the central contribution.",redox chemistry; C-C bond rotation; molecular machine; enzyme control; chemical biology,chemical_biology; redox_chemistry; molecular_design; reaction_mechanism,downloaded,942310,51116bc04af8748486e8022e51142193ba8f1026c63b341a7822aa89c2e053ec,Core journal item; public Peer Review File verified on article page.
2024_ncomms_s41467-024-48727-x_peer_review.pdf,Organocatalytic skeletal reorganization for enantioselective synthesis of S-stereogenic sulfinamides,Nature Communications,Nature Communications,2024-05-22,2024,10.1038/s41467-024-48727-x,https://www.nature.com/articles/s41467-024-48727-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-48727-x/MediaObjects/41467_2024_48727_MOESM2_ESM.pdf,Article,high_core,High core: the article reports asymmetric organocatalytic synthesis and substrate-scope/mechanistic evidence for S-stereogenic sulfinamides.,organocatalysis; enantioselective synthesis; sulfinamides; skeletal reorganization,organic_synthesis; organocatalysis; asymmetric_catalysis; stereoselectivity,downloaded,3336280,548655f6900977abbd206ae7c98ba9871514386910fda95e7c9a55b089401089,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-63036-7_peer_review.pdf,Chemical knowledge-informed framework for privacy-aware retrosynthesis learning,Nature Communications,Nature Communications,2025-09-25,2025,10.1038/s41467-025-63036-7,https://www.nature.com/articles/s41467-025-63036-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-63036-7/MediaObjects/41467_2025_63036_MOESM2_ESM.pdf,Article,high_core,"High core: retrosynthesis learning is a core chemical-informatics task, and the article explicitly centers chemical knowledge in the modeling framework.",retrosynthesis; chemical knowledge; machine learning; cheminformatics,cheminformatics; computational_chemistry; retrosynthesis; AI_for_chemistry,downloaded,3269904,8b5b4dbc37d135786f4b1dc8a258264917c3e684fbd73012c9a51ca8902a6344,Core journal item; transparent peer review file verified on article page.
2025_ncomms_s41467-025-65113-3_peer_review.pdf,Chemical weathering of molecular single crystals to monoliths of quantum dots,Nature Communications,Nature Communications,2025-11-21,2025,10.1038/s41467-025-65113-3,https://www.nature.com/articles/s41467-025-65113-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-65113-3/MediaObjects/41467_2025_65113_MOESM6_ESM.pdf,Article,high_core,"High core: chemical weathering, molecular single crystals and quantum-dot monolith formation are central materials-chemistry processes.",chemical weathering; molecular single crystals; quantum dots; materials chemistry,materials_chemistry; nanochemistry; crystal_chemistry,downloaded,7009336,6e4584649dade57b6b63d938a7725ea976356ac4cbc8a6dcc144d8071592c052,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-57568-1_peer_review.pdf,Isolable zero-valent Ditin(0) and Diplumbum(0) complexes,Nature Communications,Nature Communications,2025-03-16,2025,10.1038/s41467-025-57568-1,https://www.nature.com/articles/s41467-025-57568-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-57568-1/MediaObjects/41467_2025_57568_MOESM2_ESM.pdf,Article,high_core,High core: isolable zero-valent main-group complexes are a central inorganic/organometallic chemistry contribution.,zero-valent complexes; ditin; diplumbum; inorganic chemistry; organometallic chemistry,inorganic_chemistry; organometallic_chemistry; coordination_chemistry,downloaded,403436,bdf408b6228b092527e3416c76c351b9cd7d24bcc960cf2357c51151edac27c8,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-67341-z_peer_review.pdf,High-throughput triazole-based combinatorial click chemistry for the synthesis and identification of functional metal complexes,Nature Communications,Nature Communications,2025-12-23,2025,10.1038/s41467-025-67341-z,https://www.nature.com/articles/s41467-025-67341-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-67341-z/MediaObjects/41467_2025_67341_MOESM5_ESM.pdf,Article,high_core,High core: high-throughput combinatorial click chemistry and synthesis/identification of metal complexes are central chemistry contributions.,click chemistry; combinatorial chemistry; metal complexes; high-throughput synthesis,coordination_chemistry; high_throughput_chemistry; click_chemistry,downloaded,322578,cbbbc281ab5dfcfd3b82588ce3bc12c78cbc04bbfe512e3ab712b7534c06b6fb,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-62717-7_peer_review.pdf,Data-driven organic solubility prediction at the limit of aleatoric uncertainty,Nature Communications,Nature Communications,2025-08-19,2025,10.1038/s41467-025-62717-7,https://www.nature.com/articles/s41467-025-62717-7,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62717-7/MediaObjects/41467_2025_62717_MOESM3_ESM.pdf,Article,high_core,High core: organic solubility prediction is a molecular-property and cheminformatics problem central to computational chemistry.,organic solubility; molecular property prediction; aleatoric uncertainty; cheminformatics,computational_chemistry; cheminformatics; molecular_property_prediction,downloaded,451647,0c99f6652d6a369b4fa1e65c4bc35a6bcd24c52bb9b64e25d15d1e395704b71b,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-65846-1_peer_review.pdf,Bridging the gap between molecules and materials in quantum chemistry with localized active spaces,Nature Communications,Nature Communications,2025-12-02,2025,10.1038/s41467-025-65846-1,https://www.nature.com/articles/s41467-025-65846-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-65846-1/MediaObjects/41467_2025_65846_MOESM6_ESM.pdf,Article,high_core,High core: localized active-space quantum chemistry is the core method and scientific contribution.,quantum chemistry; localized active spaces; molecules; materials; computational chemistry,quantum_chemistry; computational_chemistry; materials_chemistry,downloaded,582312,6d0f26d10cc76035e307ff7e8acb887aeb60c4d181496408e06d96431e888ada,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-61240-z_peer_review.pdf,Enhancing tandem mass spectrometry-based metabolite annotation with online chemical labeling,Nature Communications,Nature Communications,2025-07-26,2025,10.1038/s41467-025-61240-z,https://www.nature.com/articles/s41467-025-61240-z,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-61240-z/MediaObjects/41467_2025_61240_MOESM6_ESM.pdf,Article,high_core,"High core: the study develops online chemical labeling for tandem MS metabolite annotation, a central analytical chemistry method.",tandem mass spectrometry; metabolite annotation; chemical labeling; LC-MS,analytical_chemistry; mass_spectrometry; chemical_biology; metabolomics,downloaded,20348,f7afb4bc8b4cfc6285edff325e355cc5d4e33b092943be3f8b2866273f61d98a,Core journal item; transparent peer review file downloaded.
2025_ncomms_s41467-025-62716-8_peer_review.pdf,Computational field-resolved coherent chemical imaging,Nature Communications,Nature Communications,2025-08-11,2025,10.1038/s41467-025-62716-8,https://www.nature.com/articles/s41467-025-62716-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62716-8/MediaObjects/41467_2025_62716_MOESM3_ESM.pdf,Article,medium_high_related,"Medium-high: chemical imaging is a key evidence/method layer, while the contribution also spans computational optics and microscopy.",chemical imaging; coherent imaging; spectroscopy; computational method,analytical_chemistry; spectroscopy; chemical_imaging; computational_chemistry,downloaded,1691166,ea3a557a804c65fe40b3543d76f66134bde0b8e7d2020d5518eb9fe7916f0c9b,Core journal item; transparent peer review file downloaded.
2026_commschem_s42004-025-01776-9_peer_review.pdf,ChemGraph as an agentic framework for computational chemistry workflows,Communications Chemistry,Nature Portfolio subjournal,2026-01-08,2026,10.1038/s42004-025-01776-9,https://www.nature.com/articles/s42004-025-01776-9,https://static-content.springer.com/esm/art%3A10.1038%2Fs42004-025-01776-9/MediaObjects/42004_2025_1776_MOESM1_ESM.pdf,Article,high_core,High core: agentic computational chemistry workflows are the central method and application context.,computational chemistry workflows; agentic framework; AI for chemistry; ChemGraph,computational_chemistry; AI_for_chemistry; automated_synthesis; cheminformatics,downloaded,420328,9f65ee5869a802044a1af2f2561d718724e14902762cc954713975d1511af258,Subjournal supplement item; transparent peer review file verified on article page.
2026_commschem_s42004-026-01979-8_peer_review.pdf,Singlet oxygen-mediated photocatalytic generation of abasic sites in DNA,Communications Chemistry,Nature Portfolio subjournal,2026-03-20,2026,10.1038/s42004-026-01979-8,https://www.nature.com/articles/s42004-026-01979-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs42004-026-01979-8/MediaObjects/42004_2026_1979_MOESM1_ESM.pdf,Article,high_core,"High core: singlet oxygen chemistry, photocatalysis and DNA chemical modification define the main contribution.",singlet oxygen; photocatalysis; DNA chemistry; abasic sites; chemical biology,photochemistry; photocatalysis; chemical_biology; reaction_mechanism,downloaded,735067,a3ccce00db64de9aa10d3676db8996464542813602178d55e4d3d9c3e2ab4991,Subjournal supplement item; transparent peer review file downloaded.
2026_natcatal_s41929-026-01551-6_peer_review.pdf,Transient dynamics of flavonoid metabolons tune chalcone synthase specificity,Nature Catalysis,Nature Portfolio subjournal,2026-06-15,2026,10.1038/s41929-026-01551-6,https://www.nature.com/articles/s41929-026-01551-6,https://static-content.springer.com/esm/art%3A10.1038%2Fs41929-026-01551-6/MediaObjects/41929_2026_1551_MOESM3_ESM.pdf,Article,high_core,"High core: enzyme catalysis, active-site specificity, product selectivity, structural biology, NMR and MD jointly support a biocatalytic mechanism.",biocatalysis; enzyme mechanism; chalcone synthase; active site; product specificity; NMR; MD,catalysis; biocatalysis; chemical_biology; reaction_mechanism; spectroscopy,downloaded,1694153,6c498c52c5b96b6aa9fa35000645525da67021b4e442914fc25e66c9460ba696,Priority subjournal item; public Peer Review File verified on article page.
2026_natsynth_s44160-026-01086-5_peer_review.pdf,Solid–solid catalysis for sustainable alloy synthesis,Nature Synthesis,Nature Portfolio subjournal,2026-06-08,2026,10.1038/s44160-026-01086-5,https://www.nature.com/articles/s44160-026-01086-5,https://static-content.springer.com/esm/art%3A10.1038%2Fs44160-026-01086-5/MediaObjects/44160_2026_1086_MOESM2_ESM.pdf,Article,high_core,High core: solid–solid catalysis and sustainable alloy synthesis are the main chemical synthesis/catalysis contribution.,solid-solid catalysis; sustainable synthesis; alloy synthesis; materials chemistry,catalysis; materials_chemistry; green_chemistry; synthesis,downloaded,3662415,b038f76dd51183e410277c4c0cbaa3db8aac41be0b72014030a225295d45826b,Priority subjournal item; public Peer Review file verified on article page.
,A framework for evaluating chemical knowledge in large language models,Nature Chemistry,Nature Chemistry,2025-05-20,2025,10.1038/s41557-025-01815-x,https://www.nature.com/articles/s41557-025-01815-x,,Article,high_core,"Highly relevant Nature Chemistry article, but the checked article page did not expose a public Peer Review File during this run.",chemical knowledge; large language models; AI for chemistry,,no_public_peer_review_file,,,Recorded for corpus provenance; not downloaded.
,Non-enzymatic methylcyclization of alkenes enabled by cyanomethylation,Nature Chemistry,Nature Chemistry,2025-05-08,2025,10.1038/s41557-025-01774-3,https://www.nature.com/articles/s41557-025-01774-3,,Article,high_core,"High-core synthetic chemistry article, but no public Peer Review File was found on the article page.",methylcyclization; alkenes; cyanomethylation; synthetic chemistry,,no_public_peer_review_file,,,Recorded for failure/excluded table.
,Crystalline nitrogen chain radical anions,Nature Chemistry,Nature Chemistry,2025-10-07,2025,10.1038/s41557-025-02040-2,https://www.nature.com/articles/s41557-025-02040-2,,Article,high_core,"High-core inorganic chemistry article, but no public Peer Review File was found on the article page.",nitrogen chain; radical anions; inorganic chemistry; crystal structure,,no_public_peer_review_file,,,Recorded for corpus audit.
,Stereoselective total synthesis of skew-tetramantane,Nature Chemistry,Nature Chemistry,2025-10-01,2025,10.1038/s41557-025-02026-0,https://www.nature.com/articles/s41557-025-02026-0,,Article,high_core,"High-core total synthesis article, but no public Peer Review File was found on the article page.",stereoselective total synthesis; organic synthesis,,no_public_peer_review_file,,,Recorded for corpus audit.
,A nucleophilic beryllyl complex,Nature Chemistry,Nature Chemistry,2024,2024,10.1038/s41557-024-01534-9,https://www.nature.com/articles/s41557-024-01534-9,,Article,high_core,High-core molecular/inorganic chemistry article; no public Peer Review File was confirmed during this run.,beryllyl complex; main-group chemistry; organometallic chemistry,,no_public_peer_review_file,,,Boundary/source-corpus record.
