unit_id,source_id,journal,year,unit_type,severity,claim_target,cluster,non_verbatim_index
unit_000001,nature_remote_sensing_review_0001,Nature,2024,contribution_assessment,moderate,"novelty claim, model performance","Machine learning, model performance, and generalization",true
unit_000002,nature_remote_sensing_review_0001,Nature,2024,major_concern,major,"trend interpretation, model performance","Long-term time series, climate variability, and trend interpretation",true
unit_000003,nature_remote_sensing_review_0001,Nature,2024,major_concern,major,"product validity, uncertainty claim, methodological support","Methods, results, discussion structure, and explanatory clarity",true
unit_000004,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000005,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000006,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,model performance,"Methods, results, discussion structure, and explanatory clarity",true
unit_000007,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Remote-sensing context, citation positioning, and prior work",true
unit_000008,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000009,nature_remote_sensing_review_0001,Nature,2024,line_comment,minor,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000010,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000011,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,uncertainty claim,"Methods, results, discussion structure, and explanatory clarity",true
unit_000012,nature_remote_sensing_review_0001,Nature,2024,line_comment,minor,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000013,nature_remote_sensing_review_0001,Nature,2024,line_comment,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000014,nature_remote_sensing_review_0001,Nature,2024,contribution_assessment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000015,nature_remote_sensing_review_0001,Nature,2024,figure_or_table_comment,moderate,figure evidence,"Figures, extended data, and evidentiary display",true
unit_000016,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
unit_000017,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,trend interpretation,"Long-term time series, climate variability, and trend interpretation",true
unit_000018,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,model performance,"Spatial data, resolution, and product coverage",true
unit_000019,nature_remote_sensing_review_0001,Nature,2024,moderate_concern,moderate,manuscript claim or supporting evidence,"Methods, results, discussion structure, and explanatory clarity",true
