pattern_id,gate,scope,claim_type,trigger,reviewer_concern,evidence_risk,revision_direction,severity_default,support_units,support_dois,style_note,non_verbatim
MS-PAT-0001,composition_phase_purity_and_identity,cross_materials_science,material_identity_or_phase_claim,When a manuscript makes a material identity or phase claim.,Reviewers ask whether the observed properties arise from the stated phase and composition.,"The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,197,33,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0002,composition_phase_purity_and_identity,computational_materials_design,material_identity_or_phase_claim,When computational materials design claims rely on composition phase purity and identity evidence.,"In computational materials design, reviewers commonly test whether reviewers ask whether the observed properties arise from the stated phase and composition.","The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",moderate,14,4,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0003,composition_phase_purity_and_identity,energy_and_electrochemical_materials,material_identity_or_phase_claim,When energy and electrochemical materials claims rely on composition phase purity and identity evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask whether the observed properties arise from the stated phase and composition.","The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,55,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0004,composition_phase_purity_and_identity,porous_frameworks_and_sorbents,material_identity_or_phase_claim,When porous frameworks and sorbents claims rely on composition phase purity and identity evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask whether the observed properties arise from the stated phase and composition.","The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,28,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0005,composition_phase_purity_and_identity,soft_polymers_and_bioelectronic_materials,material_identity_or_phase_claim,When soft polymers and bioelectronic materials claims rely on composition phase purity and identity evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask whether the observed properties arise from the stated phase and composition.","The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,29,7,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0006,composition_phase_purity_and_identity,two_dimensional_and_electronic_materials,material_identity_or_phase_claim,When two dimensional and electronic materials claims rely on composition phase purity and identity evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask whether the observed properties arise from the stated phase and composition.","The claimed material identity may be confounded by impurity phases, mixed composition, solvent, dopants, or incomplete assignment.","Provide orthogonal compositional and phase evidence, quantify purity, assign phases, and rule out likely impurities.",major,58,14,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0007,computational_design_and_model_validation,cross_materials_science,computational_prediction_or_design_claim,When a manuscript makes a computational prediction or design claim.,"Reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",major,169,28,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0008,computational_design_and_model_validation,computational_materials_design,computational_prediction_or_design_claim,When computational materials design claims rely on computational design and model validation evidence.,"In computational materials design, reviewers commonly test whether reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",major,70,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0009,computational_design_and_model_validation,energy_and_electrochemical_materials,computational_prediction_or_design_claim,When energy and electrochemical materials claims rely on computational design and model validation evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",major,39,10,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0010,computational_design_and_model_validation,porous_frameworks_and_sorbents,computational_prediction_or_design_claim,When porous frameworks and sorbents claims rely on computational design and model validation evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",moderate,12,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0011,computational_design_and_model_validation,soft_polymers_and_bioelectronic_materials,computational_prediction_or_design_claim,When soft polymers and bioelectronic materials claims rely on computational design and model validation evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",moderate,14,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0012,computational_design_and_model_validation,two_dimensional_and_electronic_materials,computational_prediction_or_design_claim,When two dimensional and electronic materials claims rely on computational design and model validation evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for assumptions, convergence, descriptors, training/test split, ablations, external validation, and uncertainty.","A model, simulation, DFT calculation, or machine-learning design may not be sufficiently validated experimentally or out of distribution.","Report model settings, validation strategy, failure modes, uncertainty, and experimental confirmation of key predictions.",major,27,9,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0013,control_materials_and_benchmarking,cross_materials_science,superiority_or_comparison_claim,When a manuscript makes a superiority or comparison claim.,"Reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",major,142,33,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0014,control_materials_and_benchmarking,computational_materials_design,superiority_or_comparison_claim,When computational materials design claims rely on control materials and benchmarking evidence.,"In computational materials design, reviewers commonly test whether reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",moderate,12,5,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0015,control_materials_and_benchmarking,energy_and_electrochemical_materials,superiority_or_comparison_claim,When energy and electrochemical materials claims rely on control materials and benchmarking evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",major,27,8,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0016,control_materials_and_benchmarking,porous_frameworks_and_sorbents,superiority_or_comparison_claim,When porous frameworks and sorbents claims rely on control materials and benchmarking evidence.,"In porous frameworks and sorbents, reviewers commonly test whether reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",moderate,13,12,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0017,control_materials_and_benchmarking,soft_polymers_and_bioelectronic_materials,superiority_or_comparison_claim,When soft polymers and bioelectronic materials claims rely on control materials and benchmarking evidence.,"In soft polymers and bioelectronic materials, reviewers commonly test whether reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",moderate,18,7,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0018,control_materials_and_benchmarking,two_dimensional_and_electronic_materials,superiority_or_comparison_claim,When two dimensional and electronic materials claims rely on control materials and benchmarking evidence.,"In two dimensional and electronic materials, reviewers commonly test whether reviewers ask for state-of-the-art controls, commercial comparators, or identical testing conditions.","The comparison set may be incomplete, unfair, outdated, or not measured under equivalent conditions.","Benchmark against closest materials and devices using matched protocols, transparent baselines, and literature context.",major,60,13,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0019,data_code_materials_and_reporting_completeness,cross_materials_science,reproducibility_or_reporting_claim,When a manuscript makes a reproducibility or reporting claim.,"Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",minor_to_major,395,39,"Write as a materials-science referee: firm, evidence-linked, and revision-oriented.",true
MS-PAT-0020,data_code_materials_and_reporting_completeness,computational_materials_design,reproducibility_or_reporting_claim,When computational materials design claims rely on data code materials and reporting completeness evidence.,"In computational materials design, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",moderate,19,3,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
MS-PAT-0021,data_code_materials_and_reporting_completeness,energy_and_electrochemical_materials,reproducibility_or_reporting_claim,When energy and electrochemical materials claims rely on data code materials and reporting completeness evidence.,"In energy and electrochemical materials, reviewers commonly test whether reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",major,112,10,"Tie the concern to the specific material system, measurement protocol, and claim strength.",true
