pattern_id,gate_id,gate_name,pattern_type,severity_default,reviewer_concern,common_triggers,common_issue_labels,subfield_signals,evidence_expected,claim_language_risk,source_unit_count,source_article_count,source_journals,source_doi_examples,copyright_note
CECO-P0001,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,abstracted_reviewer_concern,major,"Biodiversity and ecosystem-function claims need direct metrics rather than assuming richness, composition, resilience, or trophic structure from proxy variables alone.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web; resilience; functional diversity,biodiversity/ecosystem/function; sampling/representativeness; causal overclaim; uncertainty; figure/table clarity; novelty/significance,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation; ocean; restoration,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",918,47,Nature:592; Nature Communications:178; Nature Ecology & Evolution:148,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0002,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,abstracted_reviewer_concern,major,"Food-web, community, or ecosystem-stability conclusions should make the unit of analysis and ecological mechanism explicit.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web; resilience; functional diversity,biodiversity/ecosystem/function; sampling/representativeness; causal overclaim; uncertainty; figure/table clarity; novelty/significance,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation; ocean; restoration,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",918,47,Nature:592; Nature Communications:178; Nature Ecology & Evolution:148,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0003,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,abstracted_reviewer_concern,major,"Species distribution or community-response claims need attention to detectability, taxonomic resolution, temporal mismatch, and spatial representativeness.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web; resilience; functional diversity,biodiversity/ecosystem/function; sampling/representativeness; causal overclaim; uncertainty; figure/table clarity; novelty/significance,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation; ocean; restoration,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",918,47,Nature:592; Nature Communications:178; Nature Ecology & Evolution:148,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0004,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,issue_cluster,major,"For Biodiversity and ecosystem-function gate, reviewers repeatedly flag biodiversity/ecosystem/function when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web,biodiversity/ecosystem/function,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",367,38,Nature:232; Nature Communications:70; Nature Ecology & Evolution:65,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0005,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,issue_cluster,major,"For Biodiversity and ecosystem-function gate, reviewers repeatedly flag sampling/representativeness when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web,sampling/representativeness,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",142,31,Nature:109; Nature Communications:24; Nature Ecology & Evolution:9,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0006,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,issue_cluster,major,"For Biodiversity and ecosystem-function gate, reviewers repeatedly flag causal overclaim when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web,causal overclaim,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",77,25,Nature:44; Nature Communications:19; Nature Ecology & Evolution:14,10.1038/s41467-024-46263-2; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-67125-5; 10.1038/s41559-025-02664-0,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0007,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,issue_cluster,major,"For Biodiversity and ecosystem-function gate, reviewers repeatedly flag uncertainty when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web,uncertainty,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",73,26,Nature:48; Nature Ecology & Evolution:17; Nature Communications:8,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-65751-7; 10.1038/s41467-025-67676-7; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02746-z,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0008,biodiversity_ecosystem_function_gate,Biodiversity and ecosystem-function gate,issue_cluster,should_fix,"For Biodiversity and ecosystem-function gate, reviewers repeatedly flag figure/table clarity when the manuscript's evidence chain does not make this point explicit enough for a broad high-impact-journal audience.",species; diversity; biodiversity; community; richness; habitat; trait; stability; network; food web,figure/table clarity,biodiversity; forest; warming; species; soil; ecosystem; climate; conservation,direct biodiversity or ecosystem-function metrics; detectability/taxonomic resolution; mechanism evidence; ecological unit clarity,"assuming biodiversity, stability, or function without direct measurement",70,29,Nature:43; Nature Communications:16; Nature Ecology & Evolution:11,10.1038/s41467-024-46263-2; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63428-9; 10.1038/s41467-025-67125-5; 10.1038/s41559-025-02664-0; 10.1038/s41559-025-02911-4,"Issue cluster distilled from reviewer-comment metadata and signal terms, not from copied prose."
CECO-P0009,generalist_clarity_gate,Generalist readability and conceptual clarity gate,abstracted_reviewer_concern,should_fix,"Key terms, ecological units, model outputs, and figure quantities must be defined for a broad Nature readership.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description; presentation; terminology,clarity/presentation; figure/table clarity; generalist/clarity; definition/scope; sampling/representativeness; uncertainty,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil; ocean; conservation,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,890,60,Nature:652; Nature Communications:148; Nature Ecology & Evolution:90,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
CECO-P0010,generalist_clarity_gate,Generalist readability and conceptual clarity gate,abstracted_reviewer_concern,should_fix,"Methods needed to judge the central claim should be in the main text or clearly signposted, not hidden behind unexplained supplement references.",figure; methods; supplement; table; explain; reader; clarify; define; unclear; description; presentation; terminology,clarity/presentation; figure/table clarity; generalist/clarity; definition/scope; sampling/representativeness; uncertainty,forest; climate; biodiversity; species; carbon; ecosystem; warming; soil; ocean; conservation,defined terms; clear units; figure/table interpretability; main-text methods sufficient for assessment,hiding central logic behind jargon or unclear figures,890,60,Nature:652; Nature Communications:148; Nature Ecology & Evolution:90,10.1038/s41467-024-46263-2; 10.1038/s41467-024-46282-z; 10.1038/s41467-024-48640-3; 10.1038/s41467-024-52993-0; 10.1038/s41467-024-54304-z; 10.1038/s41467-025-59974-x; 10.1038/s41467-025-63246-z; 10.1038/s41467-025-63428-9,Abstracted pattern generated from reviewer-comment signals; no raw reviewer text stored.
