pattern_id,gate,pattern_name,claim_type,evidence_risk,reviewer_concern,revision_direction,default_severity,domain_scope,frequency_proxy_units,supporting_unit_hashes,verbatim_text_included
CHEM-PAT-001,claim_evidence_calibration,Claim class is broader than the evidence class,"A manuscript advances a general chemistry claim from a narrow reaction, material, molecular system, or assay.","The demonstrated evidence may support a local finding but not the full mechanistic, synthetic, or generality claim.","The demonstrated evidence may support a local finding but not the full mechanistic, synthetic, or generality claim.","Ask authors to recalibrate language, separate demonstrated scope from hypotheses, and state the exact evidence domain.",major,general chemistry manuscripts,5,90cb2ebd591ff7e3;31efc3f4be9bf5f4;5b6197439f4b65af;9397232c7b796a17;6196f2d9bf5490da,no
CHEM-PAT-002,claim_evidence_calibration,Demonstration is not equivalent to explanation,"A successful reaction, catalyst, sensor, or molecular tool is presented as mechanistically explained.",Performance alone does not establish the chemical origin of the effect.,Performance alone does not establish the chemical origin of the effect.,"Require explicit mechanistic alternatives, discriminating experiments, and limits on causal wording.",major,general chemistry manuscripts,5,90cb2ebd591ff7e3;31efc3f4be9bf5f4;5b6197439f4b65af;9397232c7b796a17;6196f2d9bf5490da,no
CHEM-PAT-003,claim_evidence_calibration,Best-case examples anchor the central message,"A conclusion relies on unusually successful substrates, catalysts, cells, or operating windows.",The claim may be driven by cherry-picked conditions rather than representative behaviour.,The claim may be driven by cherry-picked conditions rather than representative behaviour.,"Request full distributions, failed cases, boundary cases, and transparent selection criteria.",major,general chemistry manuscripts,5,90cb2ebd591ff7e3;31efc3f4be9bf5f4;5b6197439f4b65af;9397232c7b796a17;6196f2d9bf5490da,no
CHEM-PAT-004,novelty_and_positioning,Incremental chemistry is framed as conceptual novelty,A manuscript introduces a term or framing for chemistry already present in adjacent literature.,Originality may be overstated if prior conceptual precedents are not acknowledged.,Originality may be overstated if prior conceptual precedents are not acknowledged.,"Require a precise novelty statement against the closest reaction class, catalyst family, molecular design, or analytical approach.",major,general chemistry manuscripts,51,3fd2ee08265c84e5;6ef348ad9e539149;566abce1c9169201;32ba23f46e6ed3c4;ec4007319fb75f4d;5f701a3fcfb55645,no
CHEM-PAT-005,novelty_and_positioning,Adjacent subfields are under-cited,"A study positions itself within one chemical literature while overlooking catalysis, materials, chemical biology, or physical chemistry precedents.",The manuscript may appear more novel than it is because the comparator set is incomplete.,The manuscript may appear more novel than it is because the comparator set is incomplete.,"Ask for broader, cross-subfield literature positioning and explicit differences from the closest analogues.",major,general chemistry manuscripts,51,3fd2ee08265c84e5;6ef348ad9e539149;566abce1c9169201;32ba23f46e6ed3c4;ec4007319fb75f4d;5f701a3fcfb55645,no
CHEM-PAT-006,novelty_and_positioning,Terminology amplifies perceived significance,New labels are used for effects that may arise from known chemical principles.,"A term can obscure whether the contribution is a new mechanism, new system, or new application.","A term can obscure whether the contribution is a new mechanism, new system, or new application.",Require authors to define terms operationally and distinguish naming from evidence of a new principle.,major,general chemistry manuscripts,51,3fd2ee08265c84e5;6ef348ad9e539149;566abce1c9169201;32ba23f46e6ed3c4;ec4007319fb75f4d;5f701a3fcfb55645,no
CHEM-PAT-007,controls_and_validation,Missing negative or inactive controls,"A reaction, catalytic activity, imaging signal, binding event, or chemical-biology response is attributed to the designed component.","Without negative controls, background chemistry or assay artefacts can explain the result.","Without negative controls, background chemistry or assay artefacts can explain the result.","Require blank, inactive analogue, no-light/no-current/no-enzyme/no-metal, or scrambled-control tests as appropriate.",major,general chemistry manuscripts,11,c01735fb882370e8;f1a21ba138c0ff07;c29cfe41a8d20ecf;206652080e715b08;571323861b1601d7;560aa76f5190b6dd,no
CHEM-PAT-008,controls_and_validation,Reference systems are not aligned,"The comparator differs in loading, surface area, concentration, solvent, illumination, potential, assay window, or normalization.",The comparison may conflate intrinsic chemistry with experimental setup.,The comparison may conflate intrinsic chemistry with experimental setup.,Ask for matched controls and normalization to chemically meaningful denominators.,major,general chemistry manuscripts,11,c01735fb882370e8;f1a21ba138c0ff07;c29cfe41a8d20ecf;206652080e715b08;571323861b1601d7;560aa76f5190b6dd,no
CHEM-PAT-009,controls_and_validation,Validation is internal only,"Performance is supported by the same platform, dataset, instrument, or condition used for discovery.",Internal validation can overstate robustness.,Internal validation can overstate robustness.,"Request independent validation, orthogonal analytical methods, external datasets, or held-out substrate classes.",major,general chemistry manuscripts,11,c01735fb882370e8;f1a21ba138c0ff07;c29cfe41a8d20ecf;206652080e715b08;571323861b1601d7;560aa76f5190b6dd,no
CHEM-PAT-010,reaction_scope_and_selectivity,Scope does not support generality,A synthesis or catalytic method is claimed as general from a narrow or biased substrate set.,"Substrate scope may not test steric, electronic, functional-group, heteroatom, stereochemical, or scale boundaries.","Substrate scope may not test steric, electronic, functional-group, heteroatom, stereochemical, or scale boundaries.","Require a scope table designed around chemical diversity, limitations, and failed substrates.",major,general chemistry manuscripts,18,8539b2b7a1751491;23d24489c8ee9c4f;af2eb903fde67a9e;6944835eb9cdc542;b9812862c28cfadd;c5ad76a052b9f8b7,no
