pattern_id,gate,abstract_risk_pattern,revision_direction,severity_default,corpus_unit_count_for_gate,source_type,verbatim_reviewer_text
P001,atmospheric_claim_evidence_calibration,"Broad atmospheric claims are stronger than the demonstrated variable, domain, or diagnostic supports.","Require each headline claim to be mapped to the actual observable, model output, validation target, and inference boundary.",central,264,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P002,atmospheric_claim_evidence_calibration,"A paper treats a proxy, index, or diagnostic as the target atmospheric quantity without quantifying the proxy relationship.",State what is directly observed or simulated and validate the proxy-target link under relevant regimes.,central,264,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P003,atmospheric_claim_evidence_calibration,"The novelty claim is not calibrated against the closest atmospheric dynamics, chemistry, observation, or modelling literature.","Compare against the nearest prior work using the same scale, phenomenon, data family, and diagnostic metric.",major,264,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P004,atmospheric_claim_evidence_calibration,Policy-facing or public-impact statements exceed the physical evidence chain.,"Separate physical attribution, exposure/risk framing, and policy implication; soften claims not directly tested.",major,264,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P005,observational_product_reanalysis_validity,"Reanalysis, satellite, or station products are used as truth without product-specific bias and uncertainty checks.","Add product intercomparison, independent validation, known retrieval limitations, and regime-specific bias tests.",central,210,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P006,observational_product_reanalysis_validity,"The observational product is evaluated at aggregate scale while conclusions concern extremes, vertical structure, clouds, aerosols, or local circulation.",Validate the product at the scale and atmospheric state used in the claim.,central,210,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P007,observational_product_reanalysis_validity,"Retrieval validity under clouds, aerosols, precipitation, boundary-layer conditions, or complex terrain is assumed.","Document retrieval screening, representativeness, missingness, and sensitivity to quality flags.",major,210,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P008,observational_product_reanalysis_validity,A single observational product drives the result although alternative products disagree or have known structural uncertainty.,Use multi-product comparison and show whether the conclusion is robust to product choice.,major,210,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P009,sampling_event_representativeness,"The case, station network, campaign, season, or event sample is too narrow for the claimed atmospheric generalization.","Define the sampling frame and test whether conclusions hold across seasons, regions, regimes, and event types.",central,166,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P010,sampling_event_representativeness,Event selection or compositing may condition on the outcome variable.,Separate discovery and evaluation samples; predefine event thresholds or test alternative definitions.,major,166,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P011,sampling_event_representativeness,"Sparse vertical, temporal, or regional coverage is not propagated into inference uncertainty.",Quantify representativeness error and avoid spatial/temporal extrapolation not supported by coverage.,major,166,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P012,sampling_event_representativeness,The reference period or baseline changes the sign or magnitude of the claimed anomaly.,Test baseline sensitivity and report whether conclusions are reference-period dependent.,major,166,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P013,scale_resolution_boundary_consistency,A process resolved at one scale is interpreted at another scale without closure.,"Align claim scale, model grid, observational footprint, and process scale; discuss unresolved subgrid processes.",central,162,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P014,scale_resolution_boundary_consistency,"Boundary conditions, domain choice, or nesting strategy may impose the atmospheric response.",Add domain and boundary sensitivity tests or limit conclusions to the simulated domain.,major,162,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
P015,scale_resolution_boundary_consistency,"Mesoscale, boundary-layer, convective, or orographic processes are inferred from coarse products.",Use scale-aware diagnostics or revise claims to match resolvable dynamics.,major,162,abstracted_from_public_peer_review_files_and_stress_test_anchors,not_stored
