source_id,source_class,publisher_or_body,title,doi_or_record,public_url,topics,sha256,size_bytes,page_count,redistributed,inspection
NP-001,public_peer_review_file,Nature Communications,A solution for constraining past marine Polar Amplification,10.1038/s41467-024-53424-w,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-53424-w/MediaObjects/41467_2024_53424_MOESM2_ESM.pdf,paleoclimate; proxy calibration; polar amplification,5928714f69f49677ea0684dc078449270f42af07e0fd5f51219f2aeca921e873,3091683,77,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-002,public_peer_review_file,Nature Communications,Oceanic evasion fuels Arctic summertime rebound of atmospheric mercury and drives transport to Arctic terrestrial ecosystems,10.1038/s41467-025-56300-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-56300-3/MediaObjects/41467_2025_56300_MOESM2_ESM.pdf,Arctic biogeochemistry; atmospheric transport; model evaluation,375f8f88f9f51d4755e813f27087227a3ee824e2f6718054cd28cf59a9531b2c,3077596,78,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-003,public_peer_review_file,Communications Earth & Environment,Clean air policies are key for successfully mitigating Arctic warming,10.1038/s43247-022-00555-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-022-00555-x/MediaObjects/43247_2022_555_MOESM5_ESM.pdf,Arctic attribution; aerosols; climate policy,294dae0995a4f1cd4f45cdcb0052376b359192ba26f6c6a34b606bfcbc345f8e,3440413,20,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-004,public_peer_review_file,Nature Communications,Future sea ice weakening amplifies wind-driven trends in surface stress and Arctic Ocean spin-up,10.1038/s41467-024-50874-0,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-50874-0/MediaObjects/41467_2024_50874_MOESM2_ESM.pdf,sea ice-ocean coupling; model sensitivity,6c3cd8c3b6eaee82b409983a28ea3b9c9da4772a21659928fc6eedab4a461db1,1686230,33,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-005,public_peer_review_file,Nature Communications,The first ice-free day in the Arctic Ocean could occur before 2030,10.1038/s41467-024-54508-3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-54508-3/MediaObjects/41467_2024_54508_MOESM2_ESM.pdf,rare-event timing; ensemble interpretation; sea ice definition,8ad4362f3666a8ef1481ef05078e94e47af09941ef854deca0d696c0107ddf07,191719,21,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-006,public_peer_review_file,Nature Communications,Sea Ice Loss Leads to Regime Shifts in the Arctic Biological Pump,10.1038/s41467-025-65285-y,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-65285-y/MediaObjects/41467_2025_65285_MOESM2_ESM.pdf,sea ice; biological pump; causal mechanism,d7f7510b8b45d91ac6ae25d9054640c2b203465c9270c537e3db6cf81e66c5e4,2156878,24,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-007,public_peer_review_file,Nature Communications,Recent autumn sea ice loss in the eastern Arctic enhanced by summer Asian-Pacific Oscillation,10.1038/s41467-024-47051-8,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-024-47051-8/MediaObjects/41467_2024_47051_MOESM2_ESM.pdf,teleconnection; attribution; internal variability,ff5f059b4336a50d2061b3865c9a02c6d6f837bfea46b357f5f93e1f532ae8b2,1845077,41,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-008,public_peer_review_file,Communications Earth & Environment,"Antarctic Ice Sheet tipping in the last 800,000 years warns of future ice loss",10.1038/s43247-025-02366-2,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-025-02366-2/MediaObjects/43247_2025_2366_MOESM1_ESM.pdf,ice-sheet tipping; paleoclimate; future inference,f48380a616b248a98362515e53bc578e28adc97892fbdaf75d1f5484cd99ea63,411839,10,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-009,public_peer_review_file,Communications Earth & Environment,Seafloor roughness reduces melting of East Antarctic ice shelves,10.1038/s43247-024-01480-x,https://static-content.springer.com/esm/art%3A10.1038%2Fs43247-024-01480-x/MediaObjects/43247_2024_1480_MOESM1_ESM.pdf,ice shelf-ocean model; bathymetry; resolution,0a21ec118f0cd1fc4ae2ab663d94e70b3a1dec4f48dfe55f66e58704d7f70624,4268551,36,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
NP-010,public_peer_review_file,Nature Communications,The influence of subglacial lake discharge on Thwaites Glacier ice-shelf melting and grounding-line retreat,10.1038/s41467-025-57417-1,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-57417-1/MediaObjects/41467_2025_57417_MOESM2_ESM.pdf,subglacial discharge; grounding line; process attribution,bde77c86ba17251d089db3d69d4f59cff7ee3aea6330abfdae03b89fd81dd461,872725,36,false,downloaded; hash-checked; first page rendered; text extracted where encoding permitted
