pattern_id,domain,gate,title,concern,evidence_risk,revision_direction,severity,triggers,source_fields
POLAR-REGI-001,polar-earth-system-orchestrator,regional_scope_seasonality,Undefined polar domain,"The manuscript uses labels such as Arctic-wide, Antarctic-wide, high-latitude, or Southern Ocean without an operational spatial boundary aligned to the analysis.","A geographic label can conceal excluded seas, shelves, ice sectors, elevation bands, or latitude zones and make the conclusion impossible to reproduce.","State the exact mask, coordinate reference, sector definitions, exclusions, and sensitivity to alternative accepted regional boundaries.",major,Arctic-wide; Antarctic-wide; Southern Ocean; circumpolar,"{""claim_type"": ""cross-system synthesis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-003"", ""NP-014"", ""NP-022""], ""verbatim_review_text"": false}"
POLAR-REGI-002,polar-earth-system-orchestrator,regional_scope_seasonality,Season definition mismatched to process,"Calendar seasons are used even though melt, freeze-up, polar night, snow accumulation, or biological timing varies strongly by region and year.",Fixed seasons can mix different physical regimes and create artificial spatial or temporal contrasts.,"Use process-based or locally justified seasonal windows, show robustness to reasonable alternatives, and qualify conclusions that depend on the window.",major,DJF; JJA; melt season; freeze-up; polar night,"{""claim_type"": ""seasonal analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-004"", ""NP-006"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-REGI-003,polar-earth-system-orchestrator,regional_scope_seasonality,Single sector generalized to a hemisphere,"Evidence from one basin, shelf, glacier cluster, station network, or transect is presented as representative of the full Arctic or Antarctic.","Polar sectors differ in circulation, geometry, climate forcing, ecology, and observing density.","Narrow the claim or add stratified evidence across relevant sectors, explicitly testing spatial heterogeneity.",major,one sector; one shelf; one basin; circumpolar conclusion,"{""claim_type"": ""regional generalization"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-012"", ""NP-015"", ""NP-016""], ""verbatim_review_text"": false}"
POLAR-REGI-004,polar-earth-system-orchestrator,regional_scope_seasonality,Bipolar analogy lacks transfer argument,"A mechanism established in one hemisphere is transferred to the other without testing differences in land-ocean geometry, seasonality, circulation, or human context.",The Arctic and Antarctic are not interchangeable experimental systems.,"Identify the transfer assumptions, test them where data permit, and treat the comparison as a hypothesis unless both systems are evaluated.",major,Arctic versus Antarctic; bipolar comparison; analog,"{""claim_type"": ""comparative inference"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-003"", ""NP-014"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-REGI-005,polar-earth-system-orchestrator,regional_scope_seasonality,Coastal and interior regimes conflated,"Coastal, shelf, marginal-ice-zone, interior plateau, and deep-basin observations are pooled despite distinct forcing and response regimes.",Pooling can manufacture an average response that is not valid for any physical regime.,"Stratify by regime, report interactions or heterogeneity, and avoid a single polar-wide coefficient when slopes differ.",major,coastal; interior; shelf; marginal ice zone,"{""claim_type"": ""spatial aggregation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-011"", ""NP-015"", ""NP-018""], ""verbatim_review_text"": false}"
POLAR-REGI-006,polar-earth-system-orchestrator,regional_scope_seasonality,Study period omits critical phase,"The selected interval excludes freeze-up, breakup, winter darkness, shoulder seasons, or an earlier baseline that is necessary to interpret the claimed transition.","A truncated window can misidentify timing, trend magnitude, or causal order.","Justify temporal coverage, show the full available record, and test conclusions across alternative start and end dates.",major,record begins; selected years; summer-only; winter gap,"{""claim_type"": ""temporal scope"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-005"", ""NP-014"", ""NP-021""], ""verbatim_review_text"": false}"
POLAR-REGI-007,polar-earth-system-orchestrator,regional_scope_seasonality,Event-year framing mistaken for state change,An extreme year or short cluster is described as a new climatic or ecological state without a defined state metric or persistence criterion.,Internal variability and transient anomalies can mimic regime change.,"Define the state variable and transition criterion, quantify persistence and recurrence, and compare against an appropriate null or historical distribution.",major,record low; unprecedented; new state; tipping,"{""claim_type"": ""state-change claim"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-008"", ""NP-014"", ""NP-020""], ""verbatim_review_text"": false}"
POLAR-REGI-008,polar-earth-system-orchestrator,regional_scope_seasonality,Map projection and cell area not handled,"Area, distance, gradient, or neighborhood calculations are performed in a polar projection without documenting distortion, cell-area weighting, or reprojection effects.",Unweighted polar grids can bias aggregate statistics and spatial relationships.,"Document the projection, use area-aware calculations, and demonstrate that reprojection or latitude weighting does not control the result.",major,polar stereographic; grid-cell area; map distance,"{""claim_type"": ""geospatial analysis"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-016"", ""NP-022""], ""verbatim_review_text"": false}"
POLAR-SAMP-001,polar-earth-system-orchestrator,sampling_representativeness,Logistics-driven sampling bias,"Sampling is concentrated near stations, ship tracks, air routes, roads, accessible glaciers, or safe summer conditions but treated as population-representative.","Accessibility is correlated with climate, topography, ecosystem type, and disturbance, creating structured selection bias.","Map the sampling frame, quantify coverage by environmental stratum, use weighting or hierarchical inference, and narrow claims where coverage is absent.",major,station; cruise; transect; accessible site; summer campaign,"{""claim_type"": ""field sampling"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-012"", ""NP-013"", ""NP-022""], ""verbatim_review_text"": false}"
POLAR-SAMP-002,polar-earth-system-orchestrator,sampling_representativeness,Summer observations infer winter process,"Warm-season measurements are used to infer winter fluxes, stratification, snow processes, ecology, or atmosphere-surface exchange.",Polar winter can reverse process direction and is often the least observed season.,"Add winter evidence, use a validated seasonal model with uncertainty, or limit the conclusion to the observed season.",major,summer campaign; winter process; annual budget,"{""claim_type"": ""seasonal extrapolation"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-002"", ""NP-019"", ""NP-024""], ""verbatim_review_text"": false}"
POLAR-SAMP-003,polar-earth-system-orchestrator,sampling_representativeness,Sparse sites support trend estimate,"A trend is estimated from a small or changing station network without accounting for spatial covariance, site turnover, and unequal record length.",Network evolution can be confounded with environmental change.,"Report site histories, use methods robust to unbalanced panels and spatial dependence, and test leave-site-out stability.",major,monitoring network; station turnover; sparse sites,"{""claim_type"": ""network trend"", ""region"": [""bipolar""], ""source_basis"": ""distilled_non_verbatim"", ""source_ids"": [""NP-021"", ""NP-022"", ""TC-001""], ""verbatim_review_text"": false}"
