unit_id,source_file,doi,journal,publication_year,article_relevance_level,article_subfield_tags,abstract_gate,severity_proxy,unit_sha256_16,word_count,raw_text_stored
CHEM-RU-0001,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,controls_and_validation,specific,c01735fb882370e8,190,no
CHEM-RU-0002,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,claim_evidence_calibration,specific,90cb2ebd591ff7e3,45,no
CHEM-RU-0003,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,reaction_scope_and_selectivity,specific,8539b2b7a1751491,38,no
CHEM-RU-0004,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,catalysis_and_performance,specific,0a6ed244a124ffe2,39,no
CHEM-RU-0005,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,catalysis_and_performance,specific,54c34538f80ef899,28,no
CHEM-RU-0006,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,catalysis_and_performance,specific,6b2d69fbd4d473d1,24,no
CHEM-RU-0007,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,reaction_scope_and_selectivity,specific,23d24489c8ee9c4f,32,no
CHEM-RU-0008,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,synthesis_characterization_and_analytical_evidence,specific,1560e4fecf68354d,45,no
CHEM-RU-0009,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,mechanism_and_causality,specific,6ac5be7e59ecc645,126,no
CHEM-RU-0010,2026_nchem_s41557-026-02151-4_peer_review.pdf,10.1038/s41557-026-02151-4,Nature Chemistry,2026,high_core,supramolecular_chemistry; photocatalysis; materials_chemistry; photochemistry; spectroscopy,mechanism_and_causality,specific,55e9c8d26769b7bb,91,no
