unit_id,source_file,doi,article_title,journal,year,review_round,referee_number,source_text_sha256,gate,claim_type,subfield_bucket,abstract_unit,evidence_risk,reviewer_concern,revision_direction,matched_signal_terms,non_verbatim
MS-RU-00001,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,4ca40f5939800eb997797d6cb27788ae09f05b8f8c5278fddcb287cf2d956c0d,editorial_significance_and_novelty,novel_material_or_general_advance_claim,porous_frameworks_and_sorbents,Assesses whether the material advance is clearly distinguished from closest prior work and scaled to an appropriate Nature-level claim.,"The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","Reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",state-of-the-art; important,true
MS-RU-00002,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,ad912dc790825319ca08946c9c3e85bea03cdc6e0dd85968957bbe762b7b1f5c,editorial_significance_and_novelty,novel_material_or_general_advance_claim,porous_frameworks_and_sorbents,Assesses whether the material advance is clearly distinguished from closest prior work and scaled to an appropriate Nature-level claim.,"The manuscript presents an advance without distinguishing it from closest prior materials, mechanisms, or devices.","Reviewers may see the contribution as incremental, insufficiently positioned, or too narrow for Nature-level scope.","State the exact advance over closest work, quantify the improvement, and align the claimed scope with the evidence.",broad; important; interest,true
MS-RU-00003,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,3ae93bacd3c9eb86f01783aa4340baafb3b8d1050a6d4e2469e4e655250aec9d,scalability_processability_and_application_boundary,application_or_translation_claim,porous_frameworks_and_sorbents,"Checks whether proof-of-concept results have been overextended to practical, scalable, device, or industrial application claims.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","Reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",application; industrial; scalable; commercial,true
MS-RU-00004,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,a169ec3e379d7dade8ea52908d97dab9b00b2ad043e4c478fb2255fe78ad4f1a,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; tem; crystal,true
MS-RU-00005,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,2532ee3fa798e27099cd8c9346b9797f244d56f4f92e4d409004ed6900f9988c,scalability_processability_and_application_boundary,application_or_translation_claim,porous_frameworks_and_sorbents,"Checks whether proof-of-concept results have been overextended to practical, scalable, device, or industrial application claims.","Proof-of-concept results may be overextended to manufacturability, device deployment, or industrial relevance.","Reviewers ask for scale, processability, throughput, cost, integration, or realistic operating constraints.","State the application boundary, add scale/process evidence where available, and avoid industrial claims not directly tested.",scale; commercial,true
MS-RU-00006,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,878a31b4018137a4a01d09349f5cc8fa414859f9778065cebe30abbfd572b101,reader_logic_and_figure_narrative,presentation_or_cross_field_accessibility_claim,porous_frameworks_and_sorbents,"Improves the reader-facing evidence narrative by clarifying definitions, figure sequence, and the central claim hierarchy.",A complex materials story may be hard to follow or may ask readers to infer the evidence chain from scattered figures.,"Reviewers ask for clearer definitions, schematic logic, figure sequencing, and separation of major and minor claims.","Clarify the central claim, define terms early, align figures with claims, and move secondary details to supplement if needed.",,true
MS-RU-00007,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,e76c18b81682da1330a1923cafe33052d2abd987cfe437c6dbcc07904e60dbd0,stability_durability_and_operando_relevance,stability_or_long_term_utility_claim,porous_frameworks_and_sorbents,"Asks whether stability, cycling, aging, or operando robustness claims survive realistic stress conditions and post-test characterization.","Short-term or ideal-condition tests may not support claims of durability, stability, cycling, or operational robustness.","Reviewers request long-term tests, environmental stressors, cycling, degradation analysis, and post-test characterization.","Add durability protocols, stress conditions, failure analysis, before/after characterization, and realistic use-condition tests.",stability; water,true
MS-RU-00008,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,884d797dbef28446120b1fee242fd89464d7c944d398544ec625c1e1901e8384,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",supplementary; figure; caption,true
MS-RU-00009,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,7615c1045ee0db014efedefb3a4b883b600cd1a43a9e7cab021e85a9134f0d07,structural_characterization_and_spatial_evidence,structure_or_morphology_claim,porous_frameworks_and_sorbents,"Requests stronger structural, spatial, or spectroscopic evidence to support morphology, interface, or crystal-structure claims.","Structural, morphological, or interfacial claims may be under-supported by limited or non-representative characterization.","Reviewers request higher-resolution, more representative, or orthogonal structural evidence.","Add complementary microscopy/spectroscopy/diffraction, representative sampling, image quantification, and clear assignment of features.",structure; tem,true
MS-RU-00010,2024_nature_s41586-024-07353-9_peer_review.pdf,10.1038/s41586-024-07353-9,Porous isoreticular non-metal organic frameworks,Nature,2024,the Initial Version,1,67e946eb5b2ede77c6e09fda466fcea957b90765db84d771e400720f69ce608c,data_code_materials_and_reporting_completeness,reproducibility_or_reporting_claim,porous_frameworks_and_sorbents,"Flags missing methods, units, captions, source data, code, or materials details that prevent verification and reuse.","Methods, figures, data, units, source data, code, or materials availability are insufficient for verification or reuse.","Reviewers flag missing methodological details, inconsistent figure labels, inaccessible data/code, or ambiguous definitions.","Complete methods, units, captions, data/code availability, materials provenance, and figure-level consistency checks.",line; page,true
