gate,unit_count,source_files,dois
reader_logic_and_figure_narrative,707,42,42
structural_characterization_and_spatial_evidence,655,42,42
editorial_significance_and_novelty,444,41,41
data_code_materials_and_reporting_completeness,395,39,39
synthesis_route_and_reproducibility,278,39,39
structure_property_causality_and_mechanism,249,39,39
property_measurement_and_metric_validity,247,35,35
composition_phase_purity_and_identity,197,33,33
computational_design_and_model_validation,169,28,28
stability_durability_and_operando_relevance,149,21,21
scalability_processability_and_application_boundary,146,28,28
control_materials_and_benchmarking,142,33,33
statistical_inference_uncertainty_and_replicates,39,17,17
